Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
95, ,0.01,5.7223676593502195e-06,None,None,None,None, , , , 
96, ,0.01,6.579332246575683e-06,None,None,None,None, , , , 
97, ,0.01,7.564633275546291e-06,None,None,None,None, , , , 
98, ,0.01,8.697490026177835e-06,None,None,None,None, , , , 
99, ,0.01,1e-05,None,None,None,None, , , , 
100, ,0.010722672220103232,1.0000000000000001e-11,None,None,None,None, , , , 
101, ,0.010722672220103232,1.1497569953977356e-11,None,None,None,None, , , , 
102, ,0.010722672220103232,1.3219411484660286e-11,None,None,None,None, , , , 
103, ,0.010722672220103232,1.519911082952933e-11,None,None,None,None, , , , 
104, ,0.010722672220103232,1.747528400007683e-11,None,None,None,None, , , , 
105, ,0.010722672220103232,2.0092330025650463e-11,None,None,None,None, , , , 
106, ,0.010722672220103232,2.3101297000831577e-11,None,None,None,None, , , , 
107, ,0.010722672220103232,2.6560877829466842e-11,None,None,None,None, , , , 
108, ,0.010722672220103232,3.0538555088334125e-11,None,None,None,None, , , , 
109, ,0.010722672220103232,3.511191734215128e-11,None,None,None,None, , , , 
110, ,0.010722672220103232,4.03701725859655e-11,None,None,None,None, , , , 
111, ,0.010722672220103232,4.641588833612773e-11,None,None,None,None, , , , 
112, ,0.010722672220103232,5.336699231206302e-11,None,None,None,None, , , , 
113, ,0.010722672220103232,6.135907273413164e-11,None,None,None,None, , , , 
114, ,0.010722672220103232,7.05480231071863e-11,None,None,None,None, , , , 
115, ,0.010722672220103232,8.111308307896889e-11,None,None,None,None, , , , 
116, ,0.010722672220103232,9.32603346883218e-11,None,None,None,None, , , , 
117, ,0.010722672220103232,1.0722672220103252e-10,None,None,None,None, , , , 
118, ,0.010722672220103232,1.2328467394420634e-10,None,None,None,None, , , , 
119, ,0.010722672220103232,1.4174741629268076e-10,None,None,None,None, , , , 
120, ,0.010722672220103232,1.629750834620647e-10,None,None,None,None, , , , 
121, ,0.010722672220103232,1.8738174228603868e-10,None,None,None,None, , , , 
122, ,0.010722672220103232,2.154434690031887e-10,None,None,None,None, , , , 
123, ,0.010722672220103232,2.477076355991714e-10,None,None,None,None, , , , 
124, ,0.010722672220103232,2.8480358684358053e-10,None,None,None,None, , , , 
125, ,0.010722672220103232,3.274549162877732e-10,None,None,None,None, , , , 
126, ,0.010722672220103232,3.764935806792472e-10,None,None,None,None, , , , 
127, ,0.010722672220103232,4.328761281083062e-10,None,None,None,None, , , , 
128, ,0.010722672220103232,4.977023564332114e-10,None,None,None,None, , , , 
129, ,0.010722672220103232,5.722367659350221e-10,None,None,None,None, , , , 
130, ,0.010722672220103232,6.579332246575682e-10,None,None,None,None, , , , 
131, ,0.010722672220103232,7.564633275546291e-10,None,None,None,None, , , , 
132, ,0.010722672220103232,8.697490026177835e-10,None,None,None,None, , , , 
133, ,0.010722672220103232,1e-09,None,None,None,None, , , , 
134, ,0.010722672220103232,1.1497569953977357e-09,None,None,None,None, , , , 
135, ,0.010722672220103232,1.3219411484660288e-09,None,None,None,None, , , , 
136, ,0.010722672220103232,1.519911082952933e-09,None,None,None,None, , , , 
137, ,0.010722672220103232,1.747528400007683e-09,None,None,None,None, , , , 
138, ,0.010722672220103232,2.009233002565046e-09,None,None,None,None, , , , 
139, ,0.010722672220103232,2.310129700083158e-09,None,None,None,None, , , , 
140, ,0.010722672220103232,2.656087782946684e-09,None,None,None,None, , , , 
141, ,0.010722672220103232,3.0538555088334124e-09,None,None,None,None, , , , 
142, ,0.010722672220103232,3.5111917342151277e-09,None,None,None,None, , , , 
143, ,0.010722672220103232,4.0370172585965495e-09,None,None,None,None, , , , 
144, ,0.010722672220103232,4.641588833612792e-09,None,None,None,None, , , , 
145, ,0.010722672220103232,5.336699231206302e-09,None,None,None,None, , , , 
146, ,0.010722672220103232,6.135907273413188e-09,None,None,None,None, , , , 
147, ,0.010722672220103232,7.054802310718632e-09,None,None,None,None, , , , 
148, ,0.010722672220103232,8.111308307896891e-09,None,None,None,None, , , , 
149, ,0.010722672220103232,9.32603346883218e-09,None,None,None,None, , , , 
150, ,0.010722672220103232,1.0722672220103233e-08,None,None,None,None, , , , 
151, ,0.010722672220103232,1.232846739442066e-08,None,None,None,None, , , , 
152, ,0.010722672220103232,1.4174741629268047e-08,None,None,None,None, , , , 
153, ,0.010722672220103232,1.6297508346206466e-08,None,None,None,None, , , , 
154, ,0.010722672220103232,1.8738174228603867e-08,None,None,None,None, , , , 
155, ,0.010722672220103232,2.1544346900318866e-08,None,None,None,None, , , , 
156, ,0.010722672220103232,2.4770763559917138e-08,None,None,None,None, , , , 
157, ,0.010722672220103232,2.8480358684358055e-08,None,None,None,None, , , , 
158, ,0.010722672220103232,3.274549162877732e-08,None,None,None,None, , , , 
159, ,0.010722672220103232,3.764935806792472e-08,None,None,None,None, , , , 
160, ,0.010722672220103232,4.328761281083061e-08,None,None,None,None, , , , 
161, ,0.010722672220103232,4.9770235643321133e-08,None,None,None,None, , , , 
162, ,0.010722672220103232,5.72236765935022e-08,None,None,None,None, , , , 
163, ,0.010722672220103232,6.579332246575682e-08,None,None,None,None, , , , 
164, ,0.010722672220103232,7.56463327554629e-08,None,None,None,None, , , , 
165, ,0.010722672220103232,8.697490026177834e-08,None,None,None,None, , , , 
166, ,0.010722672220103232,1e-07,None,None,None,None, , , , 
167, ,0.010722672220103232,1.1497569953977356e-07,None,None,None,None, , , , 
168, ,0.010722672220103232,1.3219411484660288e-07,None,None,None,None, , , , 
169, ,0.010722672220103232,1.519911082952933e-07,None,None,None,None, , , , 
170, ,0.010722672220103232,1.7475284000076832e-07,None,None,None,None, , , , 
171, ,0.010722672220103232,2.0092330025650461e-07,None,None,None,None, , , , 
172, ,0.010722672220103232,2.310129700083158e-07,None,None,None,None, , , , 
173, ,0.010722672220103232,2.6560877829466897e-07,None,None,None,None, , , , 
174, ,0.010722672220103232,3.0538555088334193e-07,None,None,None,None, , , , 
175, ,0.010722672220103232,3.511191734215134e-07,None,None,None,None, , , , 
176, ,0.010722672220103232,4.0370172585965576e-07,None,None,None,None, , , , 
177, ,0.010722672220103232,4.6415888336127826e-07,None,None,None,None, , , , 
178, ,0.010722672220103232,5.336699231206313e-07,None,None,None,None, , , , 
179, ,0.010722672220103232,6.135907273413176e-07,None,None,None,None, , , , 
180, ,0.010722672220103232,7.054802310718645e-07,None,None,None,None, , , , 
181, ,0.010722672220103232,8.111308307896872e-07,None,None,None,None, , , , 
182, ,0.010722672220103232,9.326033468832199e-07,None,None,None,None, , , , 
183, ,0.010722672220103232,1.0722672220103232e-06,None,None,None,None, , , , 
184, ,0.010722672220103232,1.232846739442066e-06,None,None,None,None, , , , 
185, ,0.010722672220103232,1.4174741629268047e-06,None,None,None,None, , , , 
186, ,0.010722672220103232,1.629750834620644e-06,None,None,None,None, , , , 
187, ,0.010722672220103232,1.8738174228603833e-06,None,None,None,None, , , , 
188, ,0.010722672220103232,2.1544346900318865e-06,None,None,None,None, , , , 
189, ,0.010722672220103232,2.477076355991714e-06,None,None,None,None, , , , 
190, ,0.010722672220103232,2.848035868435805e-06,None,None,None,None, , , , 
191, ,0.010722672220103232,3.2745491628777315e-06,None,None,None,None, , , , 
192, ,0.010722672220103232,3.764935806792471e-06,None,None,None,None, , , , 
193, ,0.010722672220103232,4.328761281083061e-06,None,None,None,None, , , , 
194, ,0.010722672220103232,4.9770235643321135e-06,None,None,None,None, , , , 
195, ,0.010722672220103232,5.7223676593502195e-06,None,None,None,None, , , , 
196, ,0.010722672220103232,6.579332246575683e-06,None,None,None,None, , , , 
197, ,0.010722672220103232,7.564633275546291e-06,None,None,None,None, , , , 
198, ,0.010722672220103232,8.697490026177835e-06,None,None,None,None, , , , 
199, ,0.010722672220103232,1e-05,None,None,None,None, , , , 
200, ,0.011497569953977356,1.0000000000000001e-11,None,None,None,None, , , , 
201, ,0.011497569953977356,1.1497569953977356e-11,None,None,None,None, , , , 
202, ,0.011497569953977356,1.3219411484660286e-11,None,None,None,None, , , , 
203, ,0.011497569953977356,1.519911082952933e-11,None,None,None,None, , , , 
204, ,0.011497569953977356,1.747528400007683e-11,None,None,None,None, , , , 
205, ,0.011497569953977356,2.0092330025650463e-11,None,None,None,None, , , , 
206, ,0.011497569953977356,2.3101297000831577e-11,None,None,None,None, , , , 
207, ,0.011497569953977356,2.6560877829466842e-11,None,None,None,None, , , , 
208, ,0.011497569953977356,3.0538555088334125e-11,None,None,None,None, , , , 
209, ,0.011497569953977356,3.511191734215128e-11,None,None,None,None, , , , 
210, ,0.011497569953977356,4.03701725859655e-11,None,None,None,None, , , , 
211, ,0.011497569953977356,4.641588833612773e-11,None,None,None,None, , , , 
212, ,0.011497569953977356,5.336699231206302e-11,None,None,None,None, , , , 
213, ,0.011497569953977356,6.135907273413164e-11,None,None,None,None, , , , 
214, ,0.011497569953977356,7.05480231071863e-11,None,None,None,None, , , , 
215, ,0.011497569953977356,8.111308307896889e-11,None,None,None,None, , , , 
