Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
0,100.0,0.01,1.0000000000000001e-11,None,None,None,None,100GeVSommerfeld.csv,brtoe.csv,50,5.851659530104901e+27
1, ,0.01,1.3257113655901107e-11,None,None,None,None, , , , 
2, ,0.01,1.7575106248547894e-11,None,None,None,None, , , , 
3, ,0.01,2.329951810515372e-11,None,None,None,None, , , , 
4, ,0.01,3.0888435964774854e-11,None,None,None,None, , , , 
5, ,0.01,4.094915062380418e-11,None,None,None,None, , , , 
6, ,0.01,5.4286754393238595e-11,None,None,None,None, , , , 
7, ,0.01,7.196856730011528e-11,None,None,None,None, , , , 
8, ,0.01,9.540954763499923e-11,None,None,None,None, , , , 
9, ,0.01,1.264855216855296e-10,None,None,None,None, , , , 
10, ,0.01,1.67683293681101e-10,None,None,None,None, , , , 
11, ,0.01,2.222996482526191e-10,None,None,None,None, , , , 
12, ,0.01,2.9470517025518103e-10,None,None,None,None, , , , 
13, ,0.01,3.9069399370546207e-10,None,None,None,None, , , , 
14, ,0.01,5.179474679231202e-10,None,None,None,None, , , , 
15, ,0.01,6.866488450042997e-10,None,None,None,None, , , , 
16, ,0.01,9.102981779915227e-10,None,None,None,None, , , , 
17, ,0.01,1.2067926406393266e-09,None,None,None,None, , , , 
18, ,0.01,1.5998587196060573e-09,None,None,None,None, , , , 
19, ,0.01,2.1209508879201927e-09,None,None,None,None, , , , 
20, ,0.01,2.811768697974237e-09,None,None,None,None, , , , 
21, ,0.01,3.727593720314938e-09,None,None,None,None, , , , 
22, ,0.01,4.941713361323838e-09,None,None,None,None, , , , 
23, ,0.01,6.551285568595496e-09,None,None,None,None, , , , 
24, ,0.01,8.68511373751352e-09,None,None,None,None, , , , 
25, ,0.01,1.1513953993264482e-08,None,None,None,None, , , , 
26, ,0.01,1.5264179671752334e-08,None,None,None,None, , , , 
27, ,0.01,2.023589647725156e-08,None,None,None,None, , , , 
28, ,0.01,2.6826957952797268e-08,None,None,None,None, , , , 
29, ,0.01,3.5564803062231293e-08,None,None,None,None, , , , 
30, ,0.01,4.714866363457389e-08,None,None,None,None, , , , 
31, ,0.01,6.250551925273976e-08,None,None,None,None, , , , 
32, ,0.01,8.286427728546843e-08,None,None,None,None, , , , 
33, ,0.01,1.0985411419875571e-07,None,None,None,None, , , , 
34, ,0.01,1.4563484775012446e-07,None,None,None,None, , , , 
35, ,0.01,1.9306977288832494e-07,None,None,None,None, , , , 
36, ,0.01,2.559547922699533e-07,None,None,None,None, , , , 
37, ,0.01,3.393221771895329e-07,None,None,None,None, , , , 
38, ,0.01,4.498432668969443e-07,None,None,None,None, , , , 
39, ,0.01,5.963623316594636e-07,None,None,None,None, , , , 
40, ,0.01,7.906043210907702e-07,None,None,None,None, , , , 
41, ,0.01,1.0481131341546851e-06,None,None,None,None, , , , 
42, ,0.01,1.389495494373136e-06,None,None,None,None, , , , 
43, ,0.01,1.8420699693267162e-06,None,None,None,None, , , , 
44, ,0.01,2.4420530945486497e-06,None,None,None,None, , , , 
45, ,0.01,3.23745754281764e-06,None,None,None,None, , , , 
46, ,0.01,4.291934260128778e-06,None,None,None,None, , , , 
47, ,0.01,5.689866029018292e-06,None,None,None,None, , , , 
48, ,0.01,7.543120063354608e-06,None,None,None,None, , , , 
49, ,0.01,1e-05,None,None,None,None, , , , 
50, ,0.011513953993264476,1.0000000000000001e-11,None,None,None,None, , , , 
51, ,0.011513953993264476,1.3257113655901107e-11,None,None,None,None, , , , 
52, ,0.011513953993264476,1.7575106248547894e-11,None,None,None,None, , , , 
53, ,0.011513953993264476,2.329951810515372e-11,None,None,None,None, , , , 
54, ,0.011513953993264476,3.0888435964774854e-11,None,None,None,None, , , , 
55, ,0.011513953993264476,4.094915062380418e-11,None,None,None,None, , , , 
56, ,0.011513953993264476,5.4286754393238595e-11,None,None,None,None, , , , 
57, ,0.011513953993264476,7.196856730011528e-11,None,None,None,None, , , , 
58, ,0.011513953993264476,9.540954763499923e-11,None,None,None,None, , , , 
59, ,0.011513953993264476,1.264855216855296e-10,None,None,None,None, , , , 
60, ,0.011513953993264476,1.67683293681101e-10,None,None,None,None, , , , 
61, ,0.011513953993264476,2.222996482526191e-10,None,None,None,None, , , , 
62, ,0.011513953993264476,2.9470517025518103e-10,None,None,None,None, , , , 
63, ,0.011513953993264476,3.9069399370546207e-10,None,None,None,None, , , , 
64, ,0.011513953993264476,5.179474679231202e-10,None,None,None,None, , , , 
65, ,0.011513953993264476,6.866488450042997e-10,None,None,None,None, , , , 
66, ,0.011513953993264476,9.102981779915227e-10,None,None,None,None, , , , 
67, ,0.011513953993264476,1.2067926406393266e-09,None,None,None,None, , , , 
68, ,0.011513953993264476,1.5998587196060573e-09,None,None,None,None, , , , 
69, ,0.011513953993264476,2.1209508879201927e-09,None,None,None,None, , , , 
70, ,0.011513953993264476,2.811768697974237e-09,None,None,None,None, , , , 
71, ,0.011513953993264476,3.727593720314938e-09,None,None,None,None, , , , 
72, ,0.011513953993264476,4.941713361323838e-09,None,None,None,None, , , , 
73, ,0.011513953993264476,6.551285568595496e-09,None,None,None,None, , , , 
74, ,0.011513953993264476,8.68511373751352e-09,None,None,None,None, , , , 
75, ,0.011513953993264476,1.1513953993264482e-08,None,None,None,None, , , , 
76, ,0.011513953993264476,1.5264179671752334e-08,None,None,None,None, , , , 
77, ,0.011513953993264476,2.023589647725156e-08,None,None,None,None, , , , 
78, ,0.011513953993264476,2.6826957952797268e-08,None,None,None,None, , , , 
79, ,0.011513953993264476,3.5564803062231293e-08,None,None,None,None, , , , 
80, ,0.011513953993264476,4.714866363457389e-08,None,None,None,None, , , , 
81, ,0.011513953993264476,6.250551925273976e-08,None,None,None,None, , , , 
82, ,0.011513953993264476,8.286427728546843e-08,None,None,None,None, , , , 
83, ,0.011513953993264476,1.0985411419875571e-07,None,None,None,None, , , , 
84, ,0.011513953993264476,1.4563484775012446e-07,None,None,None,None, , , , 
85, ,0.011513953993264476,1.9306977288832494e-07,None,None,None,None, , , , 
86, ,0.011513953993264476,2.559547922699533e-07,None,None,None,None, , , , 
87, ,0.011513953993264476,3.393221771895329e-07,None,None,None,None, , , , 
88, ,0.011513953993264476,4.498432668969443e-07,None,None,None,None, , , , 
89, ,0.011513953993264476,5.963623316594636e-07,None,None,None,None, , , , 
90, ,0.011513953993264476,7.906043210907702e-07,None,None,None,None, , , , 
91, ,0.011513953993264476,1.0481131341546851e-06,None,None,None,None, , , , 
92, ,0.011513953993264476,1.389495494373136e-06,None,None,None,None, , , , 
93, ,0.011513953993264476,1.8420699693267162e-06,None,None,None,None, , , , 
94, ,0.011513953993264476,2.4420530945486497e-06,None,None,None,None, , , , 
95, ,0.011513953993264476,3.23745754281764e-06,None,None,None,None, , , , 
96, ,0.011513953993264476,4.291934260128778e-06,None,None,None,None, , , , 
97, ,0.011513953993264476,5.689866029018292e-06,None,None,None,None, , , , 
98, ,0.011513953993264476,7.543120063354608e-06,None,None,None,None, , , , 
99, ,0.011513953993264476,1e-05,None,None,None,None, , , , 
100, ,0.013257113655901088,1.0000000000000001e-11,None,None,None,None, , , , 
101, ,0.013257113655901088,1.3257113655901107e-11,None,None,None,None, , , , 
102, ,0.013257113655901088,1.7575106248547894e-11,None,None,None,None, , , , 
103, ,0.013257113655901088,2.329951810515372e-11,None,None,None,None, , , , 
104, ,0.013257113655901088,3.0888435964774854e-11,None,None,None,None, , , , 
105, ,0.013257113655901088,4.094915062380418e-11,None,None,None,None, , , , 
106, ,0.013257113655901088,5.4286754393238595e-11,None,None,None,None, , , , 
107, ,0.013257113655901088,7.196856730011528e-11,None,None,None,None, , , , 
108, ,0.013257113655901088,9.540954763499923e-11,None,None,None,None, , , , 
109, ,0.013257113655901088,1.264855216855296e-10,None,None,None,None, , , , 
110, ,0.013257113655901088,1.67683293681101e-10,None,None,None,None, , , , 
111, ,0.013257113655901088,2.222996482526191e-10,None,None,None,None, , , , 
112, ,0.013257113655901088,2.9470517025518103e-10,None,None,None,None, , , , 
113, ,0.013257113655901088,3.9069399370546207e-10,None,None,None,None, , , , 
114, ,0.013257113655901088,5.179474679231202e-10,None,None,None,None, , , , 
115, ,0.013257113655901088,6.866488450042997e-10,None,None,None,None, , , , 
116, ,0.013257113655901088,9.102981779915227e-10,None,None,None,None, , , , 
117, ,0.013257113655901088,1.2067926406393266e-09,None,None,None,None, , , , 
118, ,0.013257113655901088,1.5998587196060573e-09,None,None,None,None, , , , 
119, ,0.013257113655901088,2.1209508879201927e-09,None,None,None,None, , , , 
120, ,0.013257113655901088,2.811768697974237e-09,None,None,None,None, , , , 
121, ,0.013257113655901088,3.727593720314938e-09,None,None,None,None, , , , 
122, ,0.013257113655901088,4.941713361323838e-09,None,None,None,None, , , , 
123, ,0.013257113655901088,6.551285568595496e-09,None,None,None,None, , , , 
124, ,0.013257113655901088,8.68511373751352e-09,None,None,None,None, , , , 
125, ,0.013257113655901088,1.1513953993264482e-08,None,None,None,None, , , , 
126, ,0.013257113655901088,1.5264179671752334e-08,None,None,None,None, , , , 
127, ,0.013257113655901088,2.023589647725156e-08,None,None,None,None, , , , 
128, ,0.013257113655901088,2.6826957952797268e-08,None,None,None,None, , , , 
129, ,0.013257113655901088,3.5564803062231293e-08,None,None,None,None, , , , 
130, ,0.013257113655901088,4.714866363457389e-08,None,None,None,None, , , , 
131, ,0.013257113655901088,6.250551925273976e-08,None,None,None,None, , , , 
132, ,0.013257113655901088,8.286427728546843e-08,None,None,None,None, , , , 
133, ,0.013257113655901088,1.0985411419875571e-07,None,None,None,None, , , , 
134, ,0.013257113655901088,1.4563484775012446e-07,None,None,None,None, , , , 
135, ,0.013257113655901088,1.9306977288832494e-07,None,None,None,None, , , , 
136, ,0.013257113655901088,2.559547922699533e-07,None,None,None,None, , , , 
137, ,0.013257113655901088,3.393221771895329e-07,None,None,None,None, , , , 
138, ,0.013257113655901088,4.498432668969443e-07,None,None,None,None, , , , 
139, ,0.013257113655901088,5.963623316594636e-07,None,None,None,None, , , , 
140, ,0.013257113655901088,7.906043210907702e-07,None,None,None,None, , , , 
141, ,0.013257113655901088,1.0481131341546851e-06,None,None,None,None, , , , 
142, ,0.013257113655901088,1.389495494373136e-06,None,None,None,None, , , , 
143, ,0.013257113655901088,1.8420699693267162e-06,None,None,None,None, , , , 
144, ,0.013257113655901088,2.4420530945486497e-06,None,None,None,None, , , , 
145, ,0.013257113655901088,3.23745754281764e-06,None,None,None,None, , , , 
146, ,0.013257113655901088,4.291934260128778e-06,None,None,None,None, , , , 
147, ,0.013257113655901088,5.689866029018292e-06,None,None,None,None, , , , 
148, ,0.013257113655901088,7.543120063354608e-06,None,None,None,None, , , , 
149, ,0.013257113655901088,1e-05,None,None,None,None, , , , 
