Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
45, ,0.01,2.273965752357932e-10,1.0519948405e+14,5.24345943144e-48,5.23324819831e+13,34258.3277403, , , , 
46, ,0.01,2.4374441501222216e-10,1.20869052418e+14,5.24345943144e-48,6.02441859794e+13,45311.7944816, , , , 
47, ,0.01,2.6126752255633265e-10,1.38872618667e+14,5.24345943144e-48,6.93053854151e+13,59891.3709578, , , , 
48, ,0.01,2.8005038941836253e-10,1.59557834116e+14,5.24345943144e-48,7.96921474243e+13,79125.0387621, , , , 
49, ,0.01,3.0018358135755917e-10,1.83324133096e+14,5.24345943144e-48,9.16068006412e+13,104502.649342, , , , 
50, ,0.01,3.2176417502507347e-10,2.10630446079e+14,5.24345943144e-48,1.05281488412e+14,137991.59574, , , , 
51, ,0.01,3.4489622604057533e-10,2.42004061692e+14,5.24345943144e-48,1.20982355804e+14,182189.626132, , , , 
52, ,0.01,3.696912707195032e-10,2.78050808731e+14,5.24345943144e-48,1.39014475685e+14,240526.284976, , , , 
53, ,0.01,3.9626886387014783e-10,3.19466754794e+14,5.24345943144e-48,1.59727616144e+14,317528.969143, , , , 
54, ,0.01,4.2475715525368935e-10,3.67051647447e+14,5.24345943144e-48,1.83522952043e+14,419174.127024, , , , 
55, ,0.01,4.552935074866938e-10,4.21724357455e+14,5.24345943144e-48,2.10860830761e+14,553350.884384, , , , 
56, ,0.01,4.880251583654433e-10,4.84540622301e+14,5.24345943144e-48,2.42269717854e+14,730473.210606, , , , 
57, ,0.01,5.231099308056258e-10,5.56713432624e+14,5.24345943144e-48,2.78356472583e+14,964288.081044, , , , 
58, ,0.01,5.60716993820547e-10,6.39636455231e+14,5.24345943144e-48,3.19818134627e+14,1272942.26072, , , , 
59, ,0.01,6.010276782070387e-10,7.34910944994e+14,5.24345943144e-48,3.67455439723e+14,1680390.57196, , , , 
60, ,0.01,6.442363508721371e-10,8.443766653e+14,5.24345943144e-48,4.22188322039e+14,2218255.03594, , , , 
61, ,0.01,6.905513520162316e-10,9.70147414131e+14,5.24345943144e-48,4.85073703929e+14,2928278.79407, , , , 
62, ,0.01,7.401959996915653e-10,1.11465184179e+15,5.24345943144e-48,5.57325920057e+14,3865565.72914, , , , 
63, ,0.01,7.934096665797492e-10,1.28068034849e+15,5.24345943144e-48,6.40340174042e+14,5102856.34429, , , , 
64, ,0.01,8.504489341802668e-10,1.47143896732e+15,5.24345943144e-48,7.35719483616e+14,6736172.8168, , , , 
65, ,0.01,9.115888299750837e-10,1.69061127322e+15,5.24345943144e-48,8.45305636599e+14,8892269.66706, , , , 
66, ,0.01,9.771241535346502e-10,1.94242951329e+15,5.24345943144e-48,9.71214756643e+14,11738469.8622, , , , 
67, ,0.01,1.0473708979594486e-09,2.23175633209e+15,5.24345943144e-48,1.11587816604e+15,15495647.7958, , , , 
68, ,0.01,1.1226677735108114e-09,2.56417866993e+15,5.24345943144e-48,1.28208933496e+15,20455366.9965, , , , 
69, ,0.01,1.2033778407775904e-09,2.94611564747e+15,5.24345943144e-48,1.47305782373e+15,27002501.6704, , , , 
70, ,0.01,1.289890261253308e-09,3.38494251983e+15,5.24345943144e-48,1.69247125991e+15,35645095.9703, , , , 
71, ,0.01,1.3826221737646535e-09,3.88913309373e+15,5.24345943144e-48,1.94456654687e+15,47053777.657, , , , 
72, ,0.01,1.4820207057988602e-09,4.46842335791e+15,5.24345943144e-48,2.23421167895e+15,62113781.5095, , , , 
73, ,0.01,1.5885651294280526e-09,5.13399948633e+15,5.24345943144e-48,2.56699974316e+15,81993612.7173, , , , 
74, ,0.01,1.702769172225898e-09,5.89871384477e+15,5.24345943144e-48,2.94935692239e+15,108235677.265, , , , 
75, ,0.01,1.825183494319039e-09,6.77733317177e+15,5.24345943144e-48,3.38866658589e+15,142875900.894, , , , 
76, ,0.01,1.956398343517065e-09,7.78682372631e+15,5.24345943144e-48,3.89341186316e+15,188601597.643, , , , 
77, ,0.01,2.0970464013232305e-09,8.94667890863e+15,5.24345943144e-48,4.47333945431e+15,248959828.846, , , , 
78, ,0.01,2.2478058335487303e-09,1.02792956804e+16,5.24345943144e-48,5.13964784021e+15,328632371.007, , , , 
