Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,Kappa0
449, ,0.030888435964774818,1e-05,1.25471737011e+22,2.80178296455e-44,6.27358685055e+21,0.0, 
450, ,0.03556480306223128,1e-10,713917374243.0,1.83700028087e-45,356909621964.0,114.302806221, 
451, ,0.03556480306223128,1.264855216855296e-10,1.14216693626e+12,1.83700028087e-45,571078308695.0,292.600794659, 
452, ,0.03556480306223128,1.5998587196060573e-10,1.82730573222e+12,1.83700028087e-45,913652602313.0,748.93077829, 
453, ,0.03556480306223128,2.0235896477251562e-10,2.92343100908e+12,1.83700028087e-45,1.46171549912e+12,1916.91915875, 
454, ,0.03556480306223128,2.559547922699533e-10,4.67707659105e+12,1.83700028087e-45,2.33853829549e+12,4906.42309109, 
455, ,0.03556480306223128,3.23745754281764e-10,7.48266176645e+12,1.83700028087e-45,3.74133088323e+12,12558.128258, 
456, ,0.03556480306223128,4.09491506238042e-10,1.19712016729e+13,1.83700028087e-45,5.98560083646e+12,32142.7374102, 
457, ,0.03556480306223128,5.179474679231202e-10,1.91522313806e+13,1.83700028087e-45,9.5761156903e+12,82269.2615327, 
458, ,0.03556480306223128,6.551285568595495e-10,3.06408643742e+13,1.83700028087e-45,1.53204321871e+13,210565.503147, 
459, ,0.03556480306223128,8.28642772854686e-10,4.90210540453e+13,1.83700028087e-45,2.45105270226e+13,538925.408456, 
460, ,0.03556480306223128,1.0481131341546874e-09,7.84267607586e+13,1.83700028087e-45,3.92133803793e+13,1379294.50286, 
461, ,0.03556480306223128,1.3257113655901108e-09,1.2547173705e+14,1.83700028087e-45,6.2735868525e+13,3529916.28049, 
462, ,0.03556480306223128,1.6768329368110098e-09,2.00737052584e+14,1.83700028087e-45,1.00368526292e+14,9033130.68072, 
463, ,0.03556480306223128,2.1209508879201927e-09,3.21150923924e+14,1.83700028087e-45,1.60575461962e+14,23113119.581, 
464, ,0.03556480306223128,2.6826957952797275e-09,5.13796105949e+14,1.83700028087e-45,2.56898052975e+14,59127983.0722, 
465, ,0.03556480306223128,3.393221771895329e-09,8.22001180203e+14,1.83700028087e-45,4.11000590101e+14,151213420.085, 
466, ,0.03556480306223128,4.291934260128778e-09,1.31508575567e+15,1.83700028087e-45,6.57542877837e+14,386516521.612, 
467, ,0.03556480306223128,5.4286754393238595e-09,2.10395141324e+15,1.83700028087e-45,1.05197570662e+15,987175908.634, 
468, ,0.03556480306223128,6.866488450042997e-09,3.36602501411e+15,1.83700028087e-45,1.68301250705e+15,2518019554.08, 
469, ,0.03556480306223128,8.68511373751352e-09,5.38516446923e+15,1.83700028087e-45,2.69258223462e+15,6409507075.4, 
470, ,0.03556480306223128,1.0985411419875573e-08,8.61550233261e+15,1.83700028087e-45,4.30775116631e+15,16261172747.6, 
471, ,0.03556480306223128,1.3894954943731358e-08,1.37835865306e+16,1.83700028087e-45,6.89179326531e+15,41037228059.2, 
472, ,0.03556480306223128,1.7575106248547933e-08,2.20517910984e+16,1.83700028087e-45,1.10258955492e+16,102688727597.0, 
473, ,0.03556480306223128,2.222996482526196e-08,3.52797502718e+16,1.83700028087e-45,1.76398751359e+16,253499909281.0, 
474, ,0.03556480306223128,2.8117686979742307e-08,5.64426160978e+16,1.83700028087e-45,2.82213080489e+16,612364668534.0, 
475, ,0.03556480306223128,3.5564803062231293e-08,9.03002115215e+16,1.83700028087e-45,4.51501057608e+16,1.42878678283e+12, 
476, ,0.03556480306223128,4.498432668969443e-08,1.44467580785e+17,1.83700028087e-45,7.22337903925e+16,3.15360157001e+12, 
477, ,0.03556480306223128,5.689866029018303e-08,2.31127718819e+17,1.83700028087e-45,1.1556385941e+17,6.36884955688e+12, 
478, ,0.03556480306223128,7.196856730011529e-08,3.69771696296e+17,1.83700028087e-45,1.84885848148e+17,1.11579455437e+13, 
479, ,0.03556480306223128,9.102981779915227e-08,5.91582472582e+17,1.83700028087e-45,2.95791236291e+17,1.55720838873e+13, 
480, ,0.03556480306223128,1.151395399326448e-07,9.46448377126e+17,1.83700028087e-45,4.73224188563e+17,1.5104487175e+13, 
481, ,0.03556480306223128,1.4563484775012446e-07,1.5141836888e+18,1.83700028087e-45,7.57091844401e+17,8.18620023898e+12, 
482, ,0.03556480306223128,1.8420699693267165e-07,2.42247997762e+18,1.83700028087e-45,1.21123998881e+18,1.74840429119e+12, 
483, ,0.03556480306223128,2.329951810515372e-07,3.87562571526e+18,1.83700028087e-45,1.93781285763e+18,84176623376.3, 
484, ,0.03556480306223128,2.947051702551811e-07,6.20045359449e+18,1.83700028087e-45,3.10022679724e+18,373780621.768, 
485, ,0.03556480306223128,3.727593720314938e-07,9.91984974866e+18,1.83700028087e-45,4.95992487433e+18,36642.8612745, 
486, ,0.03556480306223128,4.7148663634573897e-07,1.58703581176e+19,1.83700028087e-45,7.93517905878e+18,0.00805214803583, 
487, ,0.03556480306223128,5.963623316594636e-07,2.53903308177e+19,1.83700028087e-45,1.26951654088e+19,1.0211471913e-13, 
488, ,0.03556480306223128,7.543120063354624e-07,4.06209421523e+19,1.83700028087e-45,2.03104710762e+19,2.14225536192e-31, 
489, ,0.03556480306223128,9.540954763499944e-07,6.4987768501e+19,1.83700028087e-45,3.24938842505e+19,6.35892980996e-60, 
490, ,0.03556480306223128,1.2067926406393288e-06,1.03971248104e+20,1.83700028087e-45,5.1985624052e+19,8.29090499327e-106, 
491, ,0.03556480306223128,1.526417967175233e-06,1.66339307868e+20,1.83700028087e-45,8.31696539338e+19,1.83912711912e-179, 
492, ,0.03556480306223128,1.9306977288832498e-06,2.66119392105e+20,1.83700028087e-45,1.33059696053e+20,1.52700755262e-297, 
493, ,0.03556480306223128,2.4420530945486497e-06,4.25753429916e+20,1.83700028087e-45,2.12876714958e+20,0.0, 
494, ,0.03556480306223128,3.088843596477485e-06,6.81145337253e+20,1.83700028087e-45,3.40572668627e+20,0.0, 
495, ,0.03556480306223128,3.906939937054621e-06,1.08973630712e+21,1.83700028087e-45,5.44868153562e+20,0.0, 
496, ,0.03556480306223128,4.941713361323839e-06,1.74342413302e+21,1.83700028087e-45,8.71712066511e+20,0.0, 
497, ,0.03556480306223128,6.250551925273976e-06,2.78923230119e+21,1.83700028087e-45,1.39461615059e+21,0.0, 
498, ,0.03556480306223128,7.906043210907703e-06,4.46237761806e+21,1.83700028087e-45,2.23118880903e+21,0.0, 
499, ,0.03556480306223128,1e-05,7.13917374243e+21,1.83700028087e-45,3.56958687122e+21,0.0, 
500, ,0.040949150623804255,1e-10,406209421691.0,4.61549695531e-46,187096292089.0,79.4351177715, 
501, ,0.040949150623804255,1.264855216855296e-10,649877685278.0,4.61549695531e-46,315547871967.0,214.335234167, 
502, ,0.040949150623804255,1.5998587196060573e-10,1.03971248147e+12,4.61549695531e-46,515725842574.0,560.438321953, 
503, ,0.040949150623804255,2.0235896477251562e-10,1.66339307936e+12,4.61549695531e-46,830419210798.0,1443.73070397, 
504, ,0.040949150623804255,2.559547922699533e-10,2.66119392215e+12,4.61549695531e-46,1.33034222349e+12,3700.2498214, 
505, ,0.040949150623804255,3.23745754281764e-10,4.25753430091e+12,4.61549695531e-46,2.12873790582e+12,9472.55384389, 
506, ,0.040949150623804255,4.09491506238042e-10,6.81145337534e+12,4.61549695531e-46,3.40572501687e+12,24245.3819973, 
507, ,0.040949150623804255,5.179474679231202e-10,1.08973630757e+13,4.61549695531e-46,5.44868149837e+12,62055.6328652, 
508, ,0.040949150623804255,6.551285568595495e-10,1.74342413374e+13,4.61549695531e-46,8.7171206684e+12,158827.752094, 
509, ,0.040949150623804255,8.28642772854686e-10,2.78923230234e+13,4.61549695531e-46,1.39461615117e+13,406500.159261, 
510, ,0.040949150623804255,1.0481131341546874e-09,4.4623776199e+13,4.61549695531e-46,2.23118880995e+13,1040345.7375, 
511, ,0.040949150623804255,1.3257113655901108e-09,7.13917374537e+13,4.61549695531e-46,3.56958687269e+13,2662360.70595, 
512, ,0.040949150623804255,1.6768329368110098e-09,1.14216693673e+14,4.61549695531e-46,5.71083468366e+13,6812580.88035, 
513, ,0.040949150623804255,2.1209508879201927e-09,1.82730573298e+14,4.61549695531e-46,9.13652866488e+13,17429517.7584, 
514, ,0.040949150623804255,2.6826957952797275e-09,2.92343101029e+14,4.61549695531e-46,1.46171550514e+14,44580543.4171, 
515, ,0.040949150623804255,3.393221771895329e-09,4.67707659298e+14,4.61549695531e-46,2.33853829649e+14,113978626.9, 
516, ,0.040949150623804255,4.291934260128778e-09,7.48266176954e+14,4.61549695531e-46,3.74133088477e+14,291212780.049, 
517, ,0.040949150623804255,5.4286754393238595e-09,1.19712016779e+15,4.61549695531e-46,5.98560083893e+14,743244657.628, 
518, ,0.040949150623804255,6.866488450042997e-09,1.91522313885e+15,4.61549695531e-46,9.57611569424e+14,1893687000.47, 
519, ,0.040949150623804255,8.68511373751352e-09,3.06408643868e+15,4.61549695531e-46,1.53204321934e+15,4811635961.86, 
520, ,0.040949150623804255,1.0985411419875573e-08,4.90210540655e+15,4.61549695531e-46,2.45105270327e+15,12172241345.6, 
521, ,0.040949150623804255,1.3894954943731358e-08,7.84267607909e+15,4.61549695531e-46,3.92133803954e+15,30577204814.8, 
522, ,0.040949150623804255,1.7575106248547933e-08,1.25471737102e+16,4.61549695531e-46,6.27358685509e+15,75952930789.6, 
523, ,0.040949150623804255,2.222996482526196e-08,2.00737052666e+16,4.61549695531e-46,1.00368526333e+16,185303329753.0, 
524, ,0.040949150623804255,2.8117686979742307e-08,3.21150924056e+16,4.61549695531e-46,1.60575462028e+16,439268544406.0, 
525, ,0.040949150623804255,3.5564803062231293e-08,5.13796106161e+16,4.61549695531e-46,2.56898053081e+16,994470405374.0, 
526, ,0.040949150623804255,4.498432668969443e-08,8.22001180541e+16,4.61549695531e-46,4.11000590271e+16,2.09160777816e+12, 
527, ,0.040949150623804255,5.689866029018303e-08,1.31508575622e+17,4.61549695531e-46,6.57542878108e+16,3.91035109197e+12, 
528, ,0.040949150623804255,7.196856730011529e-08,2.10395141411e+17,4.61549695531e-46,1.05197570706e+17,6.05499619659e+12, 
529, ,0.040949150623804255,9.102981779915227e-08,3.36602501549e+17,4.61549695531e-46,1.68301250775e+17,6.93559537231e+12, 
530, ,0.040949150623804255,1.151395399326448e-07,5.38516447145e+17,4.61549695531e-46,2.69258223572e+17,4.90441172207e+12, 
531, ,0.040949150623804255,1.4563484775012446e-07,8.61550233616e+17,4.61549695531e-46,4.30775116808e+17,1.60314561271e+12, 
532, ,0.040949150623804255,1.8420699693267165e-07,1.37835865363e+18,4.61549695531e-46,6.89179326815e+17,152482137182.0, 
533, ,0.040949150623804255,2.329951810515372e-07,2.20517911075e+18,4.61549695531e-46,1.10258955538e+18,2012410838.62, 
534, ,0.040949150623804255,2.947051702551811e-07,3.52797502863e+18,4.61549695531e-46,1.76398751432e+18,1127037.12102, 
535, ,0.040949150623804255,3.727593720314938e-07,5.64426161211e+18,4.61549695531e-46,2.82213080605e+18,4.02450038844, 
536, ,0.040949150623804255,4.7148663634573897e-07,9.03002115587e+18,4.61549695531e-46,4.51501057794e+18,4.41651360333e-09, 
537, ,0.040949150623804255,5.963623316594636e-07,1.44467580844e+19,4.61549695531e-46,7.22337904222e+18,1.16437809986e-23, 
538, ,0.040949150623804255,7.543120063354624e-07,2.31127718914e+19,4.61549695531e-46,1.15563859457e+19,3.14006445743e-47, 
539, ,0.040949150623804255,9.540954763499944e-07,3.69771696448e+19,4.61549695531e-46,1.84885848224e+19,3.5057782058e-85, 
540, ,0.040949150623804255,1.2067926406393288e-06,5.91582472826e+19,4.61549695531e-46,2.95791236413e+19,3.81832039925e-146, 
541, ,0.040949150623804255,1.526417967175233e-06,9.46448377516e+19,4.61549695531e-46,4.73224188758e+19,6.38291001801e-244, 
542, ,0.040949150623804255,1.9306977288832498e-06,1.51418368943e+20,4.61549695531e-46,7.57091844713e+19,0.0, 
543, ,0.040949150623804255,2.4420530945486497e-06,2.42247997861e+20,4.61549695531e-46,1.21123998931e+20,0.0, 
544, ,0.040949150623804255,3.088843596477485e-06,3.87562571686e+20,4.61549695531e-46,1.93781285843e+20,0.0, 
545, ,0.040949150623804255,3.906939937054621e-06,6.20045359704e+20,4.61549695531e-46,3.10022679852e+20,0.0, 
546, ,0.040949150623804255,4.941713361323839e-06,9.91984975274e+20,4.61549695531e-46,4.95992487637e+20,0.0, 
547, ,0.040949150623804255,6.250551925273976e-06,1.58703581241e+21,4.61549695531e-46,7.93517906205e+20,0.0, 
548, ,0.040949150623804255,7.906043210907703e-06,2.53903308281e+21,4.61549695531e-46,1.26951654141e+21,0.0, 
549, ,0.040949150623804255,1e-05,4.06209421691e+21,4.61549695531e-46,2.03104710845e+21,0.0, 
550, ,0.047148663634573935,1e-10,231127719041.0,2.98732869521e-46,79075416497.3,44.5079426168, 
551, ,0.047148663634573935,1.264855216855296e-10,369771696650.0,2.98732869521e-46,150959003690.0,135.936393412, 
552, ,0.047148663634573935,1.5998587196060573e-10,591582473149.0,2.98732869521e-46,269809148268.0,388.699187112, 
553, ,0.047148663634573935,2.0235896477251562e-10,946448378033.0,2.98732869521e-46,457478126032.0,1054.40292814, 
554, ,0.047148663634573935,2.559547922699533e-10,1.51418369025e+12,2.98732869521e-46,749888264916.0,2765.09986117, 
555, ,0.047148663634573935,3.23745754281764e-10,2.42247997994e+12,2.98732869521e-46,1.2089014591e+12,7131.50092253, 
556, ,0.047148663634573935,4.09491506238042e-10,3.87562571897e+12,2.98732869521e-46,1.93731724038e+12,18283.6559456, 
557, ,0.047148663634573935,5.179474679231202e-10,6.20045360043e+12,2.98732869521e-46,3.10016536271e+12,46807.3230927, 
558, ,0.047148663634573935,6.551285568595495e-10,9.91984975816e+12,2.98732869521e-46,4.95992101133e+12,119801.253204, 
559, ,0.047148663634573935,8.28642772854686e-10,1.58703581328e+13,2.98732869521e-46,7.93517896303e+12,306610.200138, 
560, ,0.047148663634573935,1.0481131341546874e-09,2.5390330842e+13,2.98732869521e-46,1.26951654201e+13,784672.620076, 
561, ,0.047148663634573935,1.3257113655901108e-09,4.06209421912e+13,2.98732869521e-46,2.03104710956e+13,2007953.16451, 
562, ,0.047148663634573935,1.6768329368110098e-09,6.49877685633e+13,2.98732869521e-46,3.24938842816e+13,5137593.77218, 
563, ,0.047148663634573935,2.1209508879201927e-09,1.03971248204e+14,2.98732869521e-46,5.19856241018e+13,13142310.3234, 
564, ,0.047148663634573935,2.6826957952797275e-09,1.66339308027e+14,2.98732869521e-46,8.31696540135e+13,33607245.8773, 
565, ,0.047148663634573935,3.393221771895329e-09,2.6611939236e+14,2.98732869521e-46,1.3305969618e+14,85892046.3873, 
566, ,0.047148663634573935,4.291934260128778e-09,4.25753430324e+14,2.98732869521e-46,2.12876715162e+14,219324488.028, 
567, ,0.047148663634573935,5.4286754393238595e-09,6.81145337906e+14,2.98732869521e-46,3.40572668953e+14,559247420.232, 
568, ,0.047148663634573935,6.866488450042997e-09,1.08973630817e+15,2.98732869521e-46,5.44868154084e+14,1422765242.45, 
569, ,0.047148663634573935,8.68511373751352e-09,1.74342413469e+15,2.98732869521e-46,8.71712067346e+14,3606471231.0, 
570, ,0.047148663634573935,1.0985411419875573e-08,2.78923230386e+15,2.98732869521e-46,1.39461615193e+15,9088743949.88, 
571, ,0.047148663634573935,1.3894954943731358e-08,4.46237762234e+15,2.98732869521e-46,2.23118881117e+15,22692434789.8, 
572, ,0.047148663634573935,1.7575106248547933e-08,7.13917374927e+15,2.98732869521e-46,3.56958687464e+15,55819793414.2, 
573, ,0.047148663634573935,2.222996482526196e-08,1.14216693736e+16,2.98732869521e-46,5.71083468678e+15,134073858978.0, 
574, ,0.047148663634573935,2.8117686979742307e-08,1.82730573397e+16,2.98732869521e-46,9.13652866987e+15,309984134490.0, 
575, ,0.047148663634573935,3.5564803062231293e-08,2.92343101188e+16,2.98732869521e-46,1.46171550594e+16,674280062393.0, 
576, ,0.047148663634573935,4.498432668969443e-08,4.67707659553e+16,2.98732869521e-46,2.33853829777e+16,1.33031260263e+12, 
577, ,0.047148663634573935,5.689866029018303e-08,7.48266177362e+16,2.98732869521e-46,3.74133088681e+16,2.24519019672e+12, 
578, ,0.047148663634573935,7.196856730011529e-08,1.19712016844e+17,2.98732869521e-46,5.9856008422e+16,2.95161576934e+12, 
579, ,0.047148663634573935,9.102981779915227e-08,1.91522313989e+17,2.98732869521e-46,9.57611569947e+16,2.60191700446e+12, 
580, ,0.047148663634573935,1.151395399326448e-07,3.06408644035e+17,2.98732869521e-46,1.53204322018e+17,1.21013737105e+12, 
581, ,0.047148663634573935,1.4563484775012446e-07,4.90210540922e+17,2.98732869521e-46,2.45105270461e+17,202351919049.0, 
582, ,0.047148663634573935,1.8420699693267165e-07,7.84267608337e+17,2.98732869521e-46,3.92133804169e+17,6585868119.18, 
583, ,0.047148663634573935,2.329951810515372e-07,1.2547173717e+18,2.98732869521e-46,6.27358685851e+17,15631190.1117, 
584, ,0.047148663634573935,2.947051702551811e-07,2.00737052776e+18,2.98732869521e-46,1.00368526388e+18,562.508467512, 
585, ,0.047148663634573935,3.727593720314938e-07,3.21150924232e+18,2.98732869521e-46,1.60575462116e+18,2.48734506806e-05, 
586, ,0.047148663634573935,4.7148663634573897e-07,5.13796106442e+18,2.98732869521e-46,2.56898053221e+18,2.42608753009e-17, 
587, ,0.047148663634573935,5.963623316594636e-07,8.2200118099e+18,2.98732869521e-46,4.11000590495e+18,8.40305303914e-37, 
588, ,0.047148663634573935,7.543120063354624e-07,1.31508575693e+19,2.98732869521e-46,6.57542878467e+18,3.51235727583e-68, 
589, ,0.047148663634573935,9.540954763499944e-07,2.10395141526e+19,2.98732869521e-46,1.05197570763e+19,1.25620065577e-118, 
590, ,0.047148663634573935,1.2067926406393288e-06,3.36602501733e+19,2.98732869521e-46,1.68301250867e+19,1.40250714597e-199, 
591, ,0.047148663634573935,1.526417967175233e-06,5.38516447439e+19,2.98732869521e-46,2.6925822372e+19,0.0, 
592, ,0.047148663634573935,1.9306977288832498e-06,8.61550234087e+19,2.98732869521e-46,4.30775117043e+19,0.0, 
593, ,0.047148663634573935,2.4420530945486497e-06,1.37835865438e+20,2.98732869521e-46,6.89179327191e+19,0.0, 
594, ,0.047148663634573935,3.088843596477485e-06,2.20517911196e+20,2.98732869521e-46,1.10258955598e+20,0.0, 
595, ,0.047148663634573935,3.906939937054621e-06,3.52797503056e+20,2.98732869521e-46,1.76398751528e+20,0.0, 
596, ,0.047148663634573935,4.941713361323839e-06,5.64426161519e+20,2.98732869521e-46,2.8221308076e+20,0.0, 
597, ,0.047148663634573935,6.250551925273976e-06,9.0300211608e+20,2.98732869521e-46,4.5150105804e+20,0.0, 
598, ,0.047148663634573935,7.906043210907703e-06,1.44467580923e+21,2.98732869521e-46,7.22337904617e+20,0.0, 
599, ,0.047148663634573935,1e-05,2.31127719041e+21,2.98732869521e-46,1.1556385952e+21,0.0, 
600, ,0.054286754393238594,1e-10,131508575789.0,1.02671018118e-45,56714440630.5,42.3192647731, 
601, ,0.054286754393238594,1.264855216855296e-10,210395141678.0,1.02671018118e-45,98900878169.8,118.066064117, 
602, ,0.054286754393238594,1.5998587196060573e-10,336602501977.0,1.02671018118e-45,164895292546.0,314.929199015, 
603, ,0.054286754393238594,2.0235896477251562e-10,538516447829.0,1.02671018118e-45,267900717343.0,818.57248364, 
604, ,0.054286754393238594,2.559547922699533e-10,861550234710.0,1.02671018118e-45,430403514286.0,2103.95215809, 
605, ,0.054286754393238594,3.23745754281764e-10,1.37835865538e+12,1.02671018118e-45,689115742290.0,5389.22231299, 
606, ,0.054286754393238594,4.09491506238042e-10,2.20517911355e+12,1.02671018118e-45,1.1025835406e+12,13794.7757314, 
607, ,0.054286754393238594,5.179474679231202e-10,3.52797503311e+12,1.02671018118e-45,1.76398724741e+12,35306.9616103, 
608, ,0.054286754393238594,6.551285568595495e-10,5.64426161928e+12,1.02671018118e-45,2.82213080497e+12,90363.2598519, 
609, ,0.054286754393238594,8.28642772854686e-10,9.03002116734e+12,1.02671018118e-45,4.51501058365e+12,231262.012795, 
610, ,0.054286754393238594,1.0481131341546874e-09,1.44467581028e+13,1.02671018118e-45,7.2233790514e+12,591815.324733, 
611, ,0.054286754393238594,1.3257113655901108e-09,2.31127719208e+13,1.02671018118e-45,1.15563859604e+13,1514325.74852, 
612, ,0.054286754393238594,1.6768329368110098e-09,3.69771696918e+13,1.02671018118e-45,1.84885848459e+13,3874131.22101, 
613, ,0.054286754393238594,2.1209508879201927e-09,5.91582473577e+13,1.02671018118e-45,2.95791236789e+13,9908420.47081, 
614, ,0.054286754393238594,2.6826957952797275e-09,9.46448378718e+13,1.02671018118e-45,4.73224189359e+13,25329970.1624, 
615, ,0.054286754393238594,3.393221771895329e-09,1.51418369135e+14,1.02671018118e-45,7.57091845675e+13,64706095.551, 
616, ,0.054286754393238594,4.291934260128778e-09,2.42247998169e+14,1.02671018118e-45,1.21123999085e+14,165098901.027, 
617, ,0.054286754393238594,5.4286754393238595e-09,3.87562572178e+14,1.02671018118e-45,1.93781286089e+14,420460106.798, 
618, ,0.054286754393238594,6.866488450042997e-09,6.20045360492e+14,1.02671018118e-45,3.10022680246e+14,1067569426.23, 
619, ,0.054286754393238594,8.68511373751352e-09,9.91984976534e+14,1.02671018118e-45,4.95992488267e+14,2697570427.9, 
620, ,0.054286754393238594,1.0985411419875573e-08,1.58703581443e+15,1.02671018118e-45,7.93517907213e+14,6763917239.24, 
621, ,0.054286754393238594,1.3894954943731358e-08,2.53903308604e+15,1.02671018118e-45,1.26951654302e+15,16751834647.3, 
622, ,0.054286754393238594,1.7575106248547933e-08,4.06209422207e+15,1.02671018118e-45,2.03104711103e+15,40677006655.3, 
623, ,0.054286754393238594,2.222996482526196e-08,6.49877686103e+15,1.02671018118e-45,3.24938843052e+15,95700197417.9, 
624, ,0.054286754393238594,2.8117686979742307e-08,1.03971248279e+16,1.02671018118e-45,5.19856241395e+15,214053434621.0, 
625, ,0.054286754393238594,3.5564803062231293e-08,1.66339308147e+16,1.02671018118e-45,8.31696540737e+15,441578074530.0, 
626, ,0.054286754393238594,4.498432668969443e-08,2.66119392553e+16,1.02671018118e-45,1.33059696276e+16,800385584862.0, 
627, ,0.054286754393238594,5.689866029018303e-08,4.25753430632e+16,1.02671018118e-45,2.12876715316e+16,1.17947647768e+12, 
628, ,0.054286754393238594,7.196856730011529e-08,6.81145338399e+16,1.02671018118e-45,3.40572669199e+16,1.24809959467e+12, 
629, ,0.054286754393238594,9.102981779915227e-08,1.08973630896e+17,1.02671018118e-45,5.44868154478e+16,777501817051.0, 
630, ,0.054286754393238594,1.151395399326448e-07,1.74342413596e+17,1.02671018118e-45,8.71712067978e+16,207497866172.0, 
631, ,0.054286754393238594,1.4563484775012446e-07,2.78923230588e+17,1.02671018118e-45,1.39461615294e+17,14267699577.8, 
632, ,0.054286754393238594,1.8420699693267165e-07,4.46237762557e+17,1.02671018118e-45,2.23118881278e+17,112052734.454, 
633, ,0.054286754393238594,2.329951810515372e-07,7.13917375444e+17,1.02671018118e-45,3.56958687722e+17,27352.0077815, 
634, ,0.054286754393238594,2.947051702551811e-07,1.14216693818e+18,1.02671018118e-45,5.71083469091e+17,0.0258682011355, 
635, ,0.054286754393238594,3.727593720314938e-07,1.8273057353e+18,1.02671018118e-45,9.13652867649e+17,3.3886025398e-12, 
636, ,0.054286754393238594,4.7148663634573897e-07,2.923431014e+18,1.02671018118e-45,1.461715507e+18,2.97978240812e-28, 
637, ,0.054286754393238594,5.963623316594636e-07,4.67707659892e+18,1.02671018118e-45,2.33853829946e+18,3.48559791325e-54, 
638, ,0.054286754393238594,7.543120063354624e-07,7.48266177904e+18,1.02671018118e-45,3.74133088952e+18,6.45736204313e-96, 
639, ,0.054286754393238594,9.540954763499944e-07,1.19712016931e+19,1.02671018118e-45,5.98560084653e+18,6.30334317494e-163, 
640, ,0.054286754393238594,1.2067926406393288e-06,1.91522314128e+19,1.02671018118e-45,9.57611570641e+18,2.22568227831e-270, 
641, ,0.054286754393238594,1.526417967175233e-06,3.06408644257e+19,1.02671018118e-45,1.53204322128e+19,0.0, 
642, ,0.054286754393238594,1.9306977288832498e-06,4.90210541277e+19,1.02671018118e-45,2.45105270639e+19,0.0, 
643, ,0.054286754393238594,2.4420530945486497e-06,7.84267608905e+19,1.02671018118e-45,3.92133804453e+19,0.0, 
644, ,0.054286754393238594,3.088843596477485e-06,1.25471737261e+20,1.02671018118e-45,6.27358686306e+19,0.0, 
645, ,0.054286754393238594,3.906939937054621e-06,2.00737052921e+20,1.02671018118e-45,1.00368526461e+20,0.0, 
646, ,0.054286754393238594,4.941713361323839e-06,3.21150924464e+20,1.02671018118e-45,1.60575462232e+20,0.0, 
647, ,0.054286754393238594,6.250551925273976e-06,5.13796106814e+20,1.02671018118e-45,2.56898053407e+20,0.0, 
648, ,0.054286754393238594,7.906043210907703e-06,8.22001181586e+20,1.02671018118e-45,4.11000590793e+20,0.0, 
649, ,0.054286754393238594,1e-05,1.31508575789e+21,1.02671018118e-45,6.57542878943e+20,0.0, 
650, ,0.06250551925273973,1e-10,74826617862.2,8.85072403906e-46,25117702386.1,24.846928958, 
651, ,0.06250551925273973,1.264855216855296e-10,119712017046.0,8.85072403906e-46,48246534754.6,76.35527049, 
652, ,0.06250551925273973,1.5998587196060573e-10,191522314312.0,8.85072403906e-46,86701868475.1,219.523223878, 
653, ,0.06250551925273973,2.0235896477251562e-10,306408644551.0,8.85072403906e-46,147589104381.0,597.838558292, 
654, ,0.06250551925273973,2.559547922699533e-10,490210541748.0,8.85072403906e-46,242465642805.0,1571.28523896, 
655, ,0.06250551925273973,3.23745754281764e-10,784267609658.0,8.85072403906e-46,391247751679.0,4056.28086511, 
656, ,0.06250551925273973,4.09491506238042e-10,1.25471737382e+12,8.85072403906e-46,627162876451.0,10402.1156734, 
657, ,0.06250551925273973,5.179474679231202e-10,2.00737053114e+12,8.85072403906e-46,1.00365967728e+12,26630.7319595, 
658, ,0.06250551925273973,6.551285568595495e-10,3.21150924773e+12,8.85072403906e-46,1.60575290182e+12,68157.6853612, 
659, ,0.06250551925273973,8.28642772854686e-10,5.13796107307e+12,8.85072403906e-46,2.56898048646e+12,174425.965844, 
660, ,0.06250551925273973,1.0481131341546874e-09,8.22001182375e+12,8.85072403906e-46,4.11000591137e+12,446340.761718, 
661, ,0.06250551925273973,1.3257113655901108e-09,1.31508575915e+13,8.85072403906e-46,6.57542879574e+12,1141976.72979, 
662, ,0.06250551925273973,1.6768329368110098e-09,2.1039514188e+13,8.85072403906e-46,1.0519757094e+13,2921086.69026, 
663, ,0.06250551925273973,2.1209508879201927e-09,3.366025023e+13,8.85072403906e-46,1.6830125115e+13,7469061.44529, 
664, ,0.06250551925273973,2.6826957952797275e-09,5.38516448346e+13,8.85072403906e-46,2.69258224173e+13,19086340.7645, 
665, ,0.06250551925273973,3.393221771895329e-09,8.61550235537e+13,8.85072403906e-46,4.30775117769e+13,48725403.0095, 
666, ,0.06250551925273973,4.291934260128778e-09,1.3783586567e+14,8.85072403906e-46,6.89179328352e+13,124196702.98, 
667, ,0.06250551925273973,5.4286754393238595e-09,2.20517911567e+14,8.85072403906e-46,1.10258955784e+14,315776470.609, 
668, ,0.06250551925273973,6.866488450042997e-09,3.5279750365e+14,8.85072403906e-46,1.76398751825e+14,799675398.024, 
669, ,0.06250551925273973,8.68511373751352e-09,5.6442616247e+14,8.85072403906e-46,2.82213081235e+14,2012198310.95, 
670, ,0.06250551925273973,1.0985411419875573e-08,9.03002117601e+14,8.85072403906e-46,4.515010588e+14,5011700841.54, 
671, ,0.06250551925273973,1.3894954943731358e-08,1.44467581167e+15,8.85072403906e-46,7.22337905833e+14,12279815127.1, 
