Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
80, ,0.01,7.054802310718645e-07,None,None,None,46.8950575857, , , , 
81, ,0.01,8.111308307896872e-07,None,None,None,0.000349749065141, , , , 
82, ,0.01,9.326033468832199e-07,None,None,None,4.87111461183e-11, , , , 
83, ,0.01,1.0722672220103232e-06,None,None,None,3.51709687303e-20, , , , 
84, ,0.01,1.232846739442066e-06,None,None,None,2.4192879323e-32, , , , 
85, ,0.01,1.4174741629268047e-06,None,None,None,1.68864076011e-48, , , , 
86, ,0.01,1.629750834620644e-06,None,None,None,6.19459335445e-70, , , , 
87, ,0.01,1.8738174228603833e-06,None,None,None,2.38488631047e-98, , , , 
88, ,0.01,2.1544346900318865e-06,None,None,None,5.45846155754e-136, , , , 
89, ,0.01,2.477076355991714e-06,None,None,None,7.95505199728e-186, , , , 
90, ,0.01,2.848035868435805e-06,None,None,None,8.74558956875e-252, , , , 
91, ,0.01,3.2745491628777315e-06,None,None,None,0.0, , , , 
92, ,0.01,3.764935806792471e-06,None,None,None,0.0, , , , 
93, ,0.01,4.328761281083061e-06,None,None,None,0.0, , , , 
94, ,0.01,4.9770235643321135e-06,None,None,None,0.0, , , , 
95, ,0.01,5.7223676593502195e-06,None,None,None,0.0, , , , 
96, ,0.01,6.579332246575683e-06,None,None,None,0.0, , , , 
97, ,0.01,7.564633275546291e-06,None,None,None,0.0, , , , 
98, ,0.01,8.697490026177835e-06,None,None,None,0.0, , , , 
99, ,0.01,1e-05,None,None,None,0.0, , , , 
100, ,0.010722672220103232,1.0000000000000001e-11,None,None,None,2.02589056784e-06, , , , 
101, ,0.010722672220103232,1.1497569953977356e-11,None,None,None,4.68007394371e-06, , , , 
102, ,0.010722672220103232,1.3219411484660286e-11,None,None,None,1.08119833048e-05, , , , 
103, ,0.010722672220103232,1.519911082952933e-11,None,None,None,2.49757210016e-05, , , , 
104, ,0.010722672220103232,1.747528400007683e-11,None,None,None,5.76981714291e-05, , , , 
105, ,0.010722672220103232,2.0092330025650463e-11,None,None,None,0.00013328872742, , , , 
106, ,0.010722672220103232,2.3101297000831577e-11,None,None,None,0.000307904576858, , , , 
107, ,0.010722672220103232,2.6560877829466842e-11,None,None,None,0.000711272967086, , , , 
108, ,0.010722672220103232,3.0538555088334125e-11,None,None,None,0.00164306570845, , , , 
109, ,0.010722672220103232,3.511191734215128e-11,None,None,None,0.00379550737635, , , , 
110, ,0.010722672220103232,4.03701725859655e-11,None,None,None,0.00876751498957, , , , 
111, ,0.010722672220103232,4.641588833612773e-11,None,None,None,0.0202523672, , , , 
112, ,0.010722672220103232,5.336699231206302e-11,None,None,None,0.0467799441557, , , , 
113, ,0.010722672220103232,6.135907273413164e-11,None,None,None,0.108050694482, , , , 
114, ,0.010722672220103232,7.05480231071863e-11,None,None,None,0.249559047726, , , , 
115, ,0.010722672220103232,8.111308307896889e-11,None,None,None,0.576355477887, , , , 
116, ,0.010722672220103232,9.32603346883218e-11,None,None,None,1.33097106617, , , , 
117, ,0.010722672220103232,1.0722672220103252e-10,None,None,None,3.07324036572, , , , 
118, ,0.010722672220103232,1.2328467394420634e-10,None,None,None,7.09508256774, , , , 
119, ,0.010722672220103232,1.4174741629268076e-10,None,None,None,16.3768201136, , , , 
120, ,0.010722672220103232,1.629750834620647e-10,None,None,None,37.7907082193, , , , 
121, ,0.010722672220103232,1.8738174228603868e-10,None,None,None,87.1738397881, , , , 
122, ,0.010722672220103232,2.154434690031887e-10,None,None,None,200.994287929, , , , 
123, ,0.010722672220103232,2.477076355991714e-10,None,None,None,463.140742386, , , , 
124, ,0.010722672220103232,2.8480358684358053e-10,None,None,None,1066.32339274, , , , 
125, ,0.010722672220103232,3.274549162877732e-10,None,None,None,2452.44841293, , , , 
126, ,0.010722672220103232,3.764935806792472e-10,None,None,None,5632.48633265, , , , 
127, ,0.010722672220103232,4.328761281083062e-10,None,None,None,12912.1862319, , , , 
128, ,0.010722672220103232,4.977023564332114e-10,None,None,None,29529.2654286, , , , 
129, ,0.010722672220103232,5.722367659350221e-10,None,None,None,67319.6155158, , , , 
130, ,0.010722672220103232,6.579332246575682e-10,None,None,None,152848.659677, , , , 
131, ,0.010722672220103232,7.564633275546291e-10,None,None,None,345223.828281, , , , 
132, ,0.010722672220103232,8.697490026177835e-10,None,None,None,774500.213553, , , , 
133, ,0.010722672220103232,1e-09,None,None,None,1722840.85549, , , , 
134, ,0.010722672220103232,1.1497569953977357e-09,None,None,None,3791789.20157, , , , 
135, ,0.010722672220103232,1.3219411484660288e-09,None,None,None,8236662.5209, , , , 
136, ,0.010722672220103232,1.519911082952933e-09,None,None,None,17611393.3509, , , , 
137, ,0.010722672220103232,1.747528400007683e-09,None,None,None,36962697.709, , , , 
138, ,0.010722672220103232,2.009233002565046e-09,None,None,None,75950344.0711, , , , 
139, ,0.010722672220103232,2.310129700083158e-09,None,None,None,152470515.78, , , , 
140, ,0.010722672220103232,2.656087782946684e-09,None,None,None,298687013.86, , , , 
141, ,0.010722672220103232,3.0538555088334124e-09,None,None,None,571003899.34, , , , 
142, ,0.010722672220103232,3.5111917342151277e-09,None,None,None,1066789528.55, , , , 
143, ,0.010722672220103232,4.0370172585965495e-09,None,None,None,1953126235.02, , , , 
144, ,0.010722672220103232,4.641588833612792e-09,None,None,None,3517249252.22, , , , 
145, ,0.010722672220103232,5.336699231206302e-09,None,None,None,6255727056.0, , , , 
146, ,0.010722672220103232,6.135907273413188e-09,None,None,None,11031691370.0, , , , 
147, ,0.010722672220103232,7.054802310718632e-09,None,None,None,19350043695.8, , , , 
148, ,0.010722672220103232,8.111308307896891e-09,None,None,None,33835910931.4, , , , 
149, ,0.010722672220103232,9.32603346883218e-09,None,None,None,59062766509.7, , , , 
150, ,0.010722672220103232,1.0722672220103233e-08,None,None,None,102981998263.0, , , , 
151, ,0.010722672220103232,1.232846739442066e-08,None,None,None,179384775638.0, , , , 
152, ,0.010722672220103232,1.4174741629268047e-08,None,None,None,312125903266.0, , , , 
153, ,0.010722672220103232,1.6297508346206466e-08,None,None,None,542328573864.0, , , , 
154, ,0.010722672220103232,1.8738174228603867e-08,None,None,None,940571851327.0, , , , 
155, ,0.010722672220103232,2.1544346900318866e-08,None,None,None,1.62727376368e+12, , , , 
156, ,0.010722672220103232,2.4770763559917138e-08,None,None,None,2.80625421083e+12, , , , 
157, ,0.010722672220103232,2.8480358684358055e-08,None,None,None,4.81880893029e+12, , , , 
158, ,0.010722672220103232,3.274549162877732e-08,None,None,None,8.22814493802e+12, , , , 
159, ,0.010722672220103232,3.764935806792472e-08,None,None,None,1.39452011442e+13, , , , 
160, ,0.010722672220103232,4.328761281083061e-08,None,None,None,2.34026677499e+13, , , , 
161, ,0.010722672220103232,4.9770235643321133e-08,None,None,None,3.87654694685e+13, , , , 
162, ,0.010722672220103232,5.72236765935022e-08,None,None,None,6.31162732856e+13, , , , 
163, ,0.010722672220103232,6.579332246575682e-08,None,None,None,1.00448870805e+14, , , , 
164, ,0.010722672220103232,7.56463327554629e-08,None,None,None,1.55121269219e+14, , , , 
165, ,0.010722672220103232,8.697490026177834e-08,None,None,None,2.30202512737e+14, , , , 
166, ,0.010722672220103232,1e-07,None,None,None,3.24112369844e+14, , , , 
167, ,0.010722672220103232,1.1497569953977356e-07,None,None,None,4.25667620194e+14, , , , 
168, ,0.010722672220103232,1.3219411484660288e-07,None,None,None,5.09928249283e+14, , , , 
169, ,0.010722672220103232,1.519911082952933e-07,None,None,None,5.40945803938e+14, , , , 
170, ,0.010722672220103232,1.7475284000076832e-07,None,None,None,4.88661564682e+14, , , , 
171, ,0.010722672220103232,2.0092330025650461e-07,None,None,None,3.5694720899e+14, , , , 
172, ,0.010722672220103232,2.310129700083158e-07,None,None,None,1.96897109146e+14, , , , 
173, ,0.010722672220103232,2.6560877829466897e-07,None,None,None,7.49290350027e+13, , , , 
174, ,0.010722672220103232,3.0538555088334193e-07,None,None,None,1.74554710773e+13, , , , 
175, ,0.010722672220103232,3.511191734215134e-07,None,None,None,2.12553632991e+12, , , , 
176, ,0.010722672220103232,4.0370172585965576e-07,None,None,None,109788254115.0, , , , 
177, ,0.010722672220103232,4.6415888336127826e-07,None,None,None,1825100414.95, , , , 
178, ,0.010722672220103232,5.336699231206313e-07,None,None,None,6778777.72946, , , , 
179, ,0.010722672220103232,6.135907273413176e-07,None,None,None,3472.23539248, , , , 
180, ,0.010722672220103232,7.054802310718645e-07,None,None,None,0.129616330131, , , , 
181, ,0.010722672220103232,8.111308307896872e-07,None,None,None,1.51748692314e-07, , , , 
182, ,0.010722672220103232,9.326033468832199e-07,None,None,None,1.82784341179e-15, , , , 
183, ,0.010722672220103232,1.0722672220103232e-06,None,None,None,5.19033375468e-26, , , , 
184, ,0.010722672220103232,1.232846739442066e-06,None,None,None,4.95421920487e-40, , , , 
185, ,0.010722672220103232,1.4174741629268047e-06,None,None,None,1.21066610041e-58, , , , 
186, ,0.010722672220103232,1.629750834620644e-06,None,None,None,2.51812151906e-83, , , , 
187, ,0.010722672220103232,1.8738174228603833e-06,None,None,None,4.95395535336e-116, , , , 
188, ,0.010722672220103232,2.1544346900318865e-06,None,None,None,2.40625073025e-159, , , , 
189, ,0.010722672220103232,2.477076355991714e-06,None,None,None,1.10984388704e-216, , , , 
190, ,0.010722672220103232,2.848035868435805e-06,None,None,None,1.48701362532e-292, , , , 
191, ,0.010722672220103232,3.2745491628777315e-06,None,None,None,0.0, , , , 
192, ,0.010722672220103232,3.764935806792471e-06,None,None,None,0.0, , , , 
193, ,0.010722672220103232,4.328761281083061e-06,None,None,None,0.0, , , , 
194, ,0.010722672220103232,4.9770235643321135e-06,None,None,None,0.0, , , , 
195, ,0.010722672220103232,5.7223676593502195e-06,None,None,None,0.0, , , , 
196, ,0.010722672220103232,6.579332246575683e-06,None,None,None,0.0, , , , 
