Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
43, ,0.011937766417144365,2.8942661247167522e-11,836899165811.0,1.24073029647e-47,76608578821.0,1.15779147794, , , , 
44, ,0.011937766417144365,4.124626382901348e-11,1.69967326277e+12,1.24073029647e-47,278837141453.0,8.55843029289, , , , 
45, ,0.011937766417144365,5.878016072274922e-11,3.45189637913e+12,1.24073029647e-47,919753882554.0,57.3333998185, , , , 
46, ,0.011937766417144365,8.376776400682924e-11,7.01051718192e+12,1.24073029647e-47,2.63886764531e+12,334.076399372, , , , 
47, ,0.011937766417144365,1.1937766417144355e-10,1.42377828764e+13,1.24073029647e-47,6.49310981739e+12,1669.44905608, , , , 
48, ,0.011937766417144365,1.7012542798525856e-10,2.89157641263e+13,1.24073029647e-47,1.41927816734e+13,7411.04533794, , , , 
49, ,0.011937766417144365,2.4244620170823307e-10,5.87255348861e+13,1.24073029647e-47,2.93075346685e+13,31080.0822632, , , , 
50, ,0.011937766417144365,3.455107294592218e-10,1.19266723597e+14,1.24073029647e-47,5.96290380669e+13,128425.137396, , , , 
51, ,0.011937766417144365,4.923882631706752e-10,2.42220890541e+14,1.24073029647e-47,1.21110360574e+14,529736.591515, , , , 
52, ,0.011937766417144365,7.017038286703836e-10,4.91930674751e+14,1.24073029647e-47,2.45965337145e+14,2184907.0071, , , , 
53, ,0.011937766417144365,1e-09,9.99070675616e+14,1.24073029647e-47,4.99535337808e+14,9011422.05149, , , , 
54, ,0.011937766417144365,1.4251026703029963e-09,2.02903023964e+15,1.24073029647e-47,1.01451511982e+15,37164535.2818, , , , 
55, ,0.011937766417144365,2.0309176209047387e-09,4.12079326703e+15,1.24073029647e-47,2.06039663351e+15,153254532.829, , , , 
56, ,0.011937766417144365,2.894266124716752e-09,8.36899165811e+15,1.24073029647e-47,4.18449582906e+15,631822175.43, , , , 
57, ,0.011937766417144365,4.1246263829013485e-09,1.69967326277e+16,1.24073029647e-47,8.49836631383e+15,2603556711.72, , , , 
58, ,0.011937766417144365,5.878016072274924e-09,3.45189637913e+16,1.24073029647e-47,1.72594818957e+16,10718006844.3, , , , 
59, ,0.011937766417144365,8.376776400682925e-09,7.01051718192e+16,1.24073029647e-47,3.50525859096e+16,44034948539.0, , , , 
60, ,0.011937766417144365,1.1937766417144358e-08,1.42377828764e+17,1.24073029647e-47,7.11889143821e+16,180188557432.0, , , , 
61, ,0.011937766417144365,1.701254279852589e-08,2.89157641263e+17,1.24073029647e-47,1.44578820632e+17,731299381677.0, , , , 
62, ,0.011937766417144365,2.4244620170823313e-08,5.87255348861e+17,1.24073029647e-47,2.9362767443e+17,2.91897011994e+12, , , , 
63, ,0.011937766417144365,3.4551072945922184e-08,1.19266723597e+18,1.24073029647e-47,5.96333617986e+17,1.12634993628e+13, , , , 
64, ,0.011937766417144365,4.923882631706741e-08,2.42220890541e+18,1.24073029647e-47,1.21110445271e+18,4.0577129199e+13, , , , 
65, ,0.011937766417144365,7.017038286703835e-08,4.91930674751e+18,1.24073029647e-47,2.45965337376e+18,1.27143870082e+14, , , , 
66, ,0.011937766417144365,1e-07,9.99070675616e+18,1.24073029647e-47,4.99535337808e+18,3.00087825823e+14, , , , 
67, ,0.011937766417144365,1.4251026703029992e-07,2.02903023964e+19,1.24073029647e-47,1.01451511982e+19,3.9835865088e+14, , , , 
68, ,0.011937766417144365,2.0309176209047388e-07,4.12079326703e+19,1.24073029647e-47,2.06039663351e+19,1.64330747789e+14, , , , 
69, ,0.011937766417144365,2.8942661247167523e-07,8.36899165811e+19,1.24073029647e-47,4.18449582906e+19,6.3140442245e+12, , , , 
70, ,0.011937766417144365,4.124626382901357e-07,1.69967326277e+20,1.24073029647e-47,8.49836631383e+19,1955749635.52, , , , 
71, ,0.011937766417144365,5.87801607227491e-07,3.45189637913e+20,1.24073029647e-47,1.72594818957e+20,33.9175251158, , , , 
72, ,0.011937766417144365,8.376776400682923e-07,7.01051718192e+20,1.24073029647e-47,3.50525859096e+20,1.36234716261e-15, , , , 
73, ,0.011937766417144365,1.193776641714438e-06,1.42377828764e+21,1.24073029647e-47,7.11889143821e+20,1.58737105158e-49, , , , 
74, ,0.011937766417144365,1.701254279852589e-06,2.89157641263e+21,1.24073029647e-47,1.44578820632e+21,4.46599256257e-119, , , , 
75, ,0.011937766417144365,2.424462017082331e-06,5.87255348861e+21,1.24073029647e-47,2.9362767443e+21,5.80371673223e-261, , , , 
76, ,0.011937766417144365,3.455107294592218e-06,1.19266723597e+22,1.24073029647e-47,5.96333617986e+21,0.0, , , , 
77, ,0.011937766417144365,4.923882631706742e-06,2.42220890541e+22,1.24073029647e-47,1.21110445271e+22,0.0, , , , 
78, ,0.011937766417144365,7.017038286703838e-06,4.91930674751e+22,1.24073029647e-47,2.45965337376e+22,0.0, , , , 
79, ,0.011937766417144365,1e-05,9.99070675616e+22,1.24073029647e-47,4.99535337808e+22,0.0, , , , 
80, ,0.014251026703029978,1.0000000000000001e-11,49193067549.6,1.45997136011e-47,352360104.114,0.000905950043044, , , , 
81, ,0.014251026703029978,1.4251026703029965e-11,99907067712.9,1.45997136011e-47,1439122863.91,0.0075146913598, , , , 
82, ,0.014251026703029978,2.030917620904739e-11,202903024271.0,1.45997136011e-47,5819601523.07,0.0617158941992, , , , 
83, ,0.014251026703029978,2.8942661247167522e-11,412079327327.0,1.45997136011e-47,23077759950.3,0.497039933635, , , , 
84, ,0.014251026703029978,4.124626382901348e-11,836899167079.0,1.45997136011e-47,88162138809.7,3.85630712518, , , , 
85, ,0.014251026703029978,5.878016072274922e-11,1.69967326534e+12,1.45997136011e-47,314925032797.0,27.976276823, , , , 
86, ,0.014251026703029978,8.376776400682924e-11,3.45189638436e+12,1.45997136011e-47,1.009281364e+12,182.090178638, , , , 
87, ,0.014251026703029978,1.1937766417144355e-10,7.01051719254e+12,1.45997136011e-47,2.79420417743e+12,1023.82156781, , , , 
88, ,0.014251026703029978,1.7012542798525856e-10,1.4237782898e+13,1.45997136011e-47,6.65871788139e+12,4955.05094648, , , , 
89, ,0.014251026703029978,2.4244620170823307e-10,2.89157641701e+13,1.45997136011e-47,1.42892331464e+13,21595.1743997, , , , 
90, ,0.014251026703029978,3.455107294592218e-10,5.8725534975e+13,1.45997136011e-47,2.93339022059e+13,90033.8487918, , , , 
91, ,0.014251026703029978,4.923882631706752e-10,1.19266723778e+14,1.45997136011e-47,5.96316480654e+13,371703.563725, , , , 
92, ,0.014251026703029978,7.017038286703836e-10,2.42220890908e+14,1.45997136011e-47,1.21110422801e+14,1533122.02234, , , , 
93, ,0.014251026703029978,1e-09,4.91930675496e+14,1.45997136011e-47,2.45965337713e+14,6323053.7473, , , , 
94, ,0.014251026703029978,1.4251026703029963e-09,9.99070677129e+14,1.45997136011e-47,4.99535338564e+14,26076020.9562, , , , 
95, ,0.014251026703029978,2.0309176209047387e-09,2.02903024271e+15,1.45997136011e-47,1.01451512136e+15,107518558.912, , , , 
96, ,0.014251026703029978,2.894266124716752e-09,4.12079327327e+15,1.45997136011e-47,2.06039663663e+15,443178457.016, , , , 
97, ,0.014251026703029978,4.1246263829013485e-09,8.36899167079e+15,1.45997136011e-47,4.18449583539e+15,1825473320.68, , , , 
98, ,0.014251026703029978,5.878016072274924e-09,1.69967326534e+16,1.45997136011e-47,8.4983663267e+15,7508728483.31, , , , 
99, ,0.014251026703029978,8.376776400682925e-09,3.45189638436e+16,1.45997136011e-47,1.72594819218e+16,30798296749.8, , , , 
100, ,0.014251026703029978,1.1937766417144358e-08,7.01051719254e+16,1.45997136011e-47,3.50525859627e+16,125599446975.0, , , , 
101, ,0.014251026703029978,1.701254279852589e-08,1.4237782898e+17,1.45997136011e-47,7.11889144899e+16,506259215867.0, , , , 
102, ,0.014251026703029978,2.4244620170823313e-08,2.89157641701e+17,1.45997136011e-47,1.44578820851e+17,1.99273523057e+12, , , , 
103, ,0.014251026703029978,3.4551072945922184e-08,5.8725534975e+17,1.45997136011e-47,2.93627674875e+17,7.47464245972e+12, , , , 
104, ,0.014251026703029978,4.923882631706741e-08,1.19266723778e+18,1.45997136011e-47,5.96333618889e+17,2.54221512031e+13, , , , 
105, ,0.014251026703029978,7.017038286703835e-08,2.42220890908e+18,1.45997136011e-47,1.21110445454e+18,7.08731417697e+13, , , , 
106, ,0.014251026703029978,1e-07,4.91930675496e+18,1.45997136011e-47,2.45965337748e+18,1.31939941658e+14, , , , 
107, ,0.014251026703029978,1.4251026703029992e-07,9.99070677129e+18,1.45997136011e-47,4.99535338564e+18,1.08168087119e+14, , , , 
108, ,0.014251026703029978,2.0309176209047388e-07,2.02903024271e+19,1.45997136011e-47,1.01451512136e+19,1.67674319405e+13, , , , 
109, ,0.014251026703029978,2.8942661247167523e-07,4.12079327327e+19,1.45997136011e-47,2.06039663663e+19,88258923604.6, , , , 
110, ,0.014251026703029978,4.124626382901357e-07,8.36899167079e+19,1.45997136011e-47,4.18449583539e+19,482480.552421, , , , 
111, ,0.014251026703029978,5.87801607227491e-07,1.69967326534e+20,1.45997136011e-47,8.4983663267e+19,2.30045980431e-06, , , , 
112, ,0.014251026703029978,8.376776400682923e-07,3.45189638436e+20,1.45997136011e-47,1.72594819218e+20,5.42046295311e-30, , , , 
113, ,0.014251026703029978,1.193776641714438e-06,7.01051719254e+20,1.45997136011e-47,3.50525859627e+20,1.29885883227e-78, , , , 
114, ,0.014251026703029978,1.701254279852589e-06,1.4237782898e+21,1.45997136011e-47,7.11889144899e+20,5.43255811307e-178, , , , 
115, ,0.014251026703029978,2.424462017082331e-06,2.89157641701e+21,1.45997136011e-47,1.44578820851e+21,0.0, , , , 
116, ,0.014251026703029978,3.455107294592218e-06,5.8725534975e+21,1.45997136011e-47,2.93627674875e+21,0.0, , , , 
117, ,0.014251026703029978,4.923882631706742e-06,1.19266723778e+22,1.45997136011e-47,5.96333618889e+21,0.0, , , , 
118, ,0.014251026703029978,7.017038286703838e-06,2.42220890908e+22,1.45997136011e-47,1.21110445454e+22,0.0, , , , 
119, ,0.014251026703029978,1e-05,4.91930675496e+22,1.45997136011e-47,2.45965337748e+22,0.0, , , , 
120, ,0.01701254279852589,1.0000000000000001e-11,24222089143.1,2.8849344295e-48,17027859.8959,6.23911519486e-05, , , , 
121, ,0.01701254279852589,1.4251026703029965e-11,49193067655.8,2.8849344295e-48,70165730.2476,0.00052214073095, , , , 
122, ,0.01701254279852589,2.030917620904739e-11,99907067928.5,2.8849344295e-48,288840637.885,0.00436527128126, , , , 
123, ,0.01701254279852589,2.8942661247167522e-11,202903024709.0,2.8849344295e-48,1186635780.01,0.0364217605781, , , , 
124, ,0.01701254279852589,4.124626382901348e-11,412079328216.0,2.8849344295e-48,4855259903.11,0.302655484829, , , , 
125, ,0.01701254279852589,5.878016072274922e-11,836899168885.0,2.8849344295e-48,19704710327.8,2.49458463317, , , , 
126, ,0.01701254279852589,8.376776400682924e-11,1.69967326901e+12,2.8849344295e-48,78690970165.9,20.2323030967, , , , 
127, ,0.01701254279852589,1.1937766417144355e-10,3.45189639181e+12,2.8849344295e-48,304625457177.0,159.066286383, , , , 
128, ,0.01701254279852589,1.7012542798525856e-10,7.01051720767e+12,2.8849344295e-48,1.11373611734e+12,1181.09593789, , , , 
129, ,0.01701254279852589,2.4244620170823307e-10,1.42377829287e+13,2.8849344295e-48,3.69964250611e+12,7968.04900042, , , , 
130, ,0.01701254279852589,3.455107294592218e-10,2.89157642325e+13,2.8849344295e-48,1.07111634298e+13,46850.6177308, , , , 
131, ,0.01701254279852589,4.923882631706752e-10,5.87255351018e+13,2.8849344295e-48,2.6582316688e+13,236130.385975, , , , 
132, ,0.01701254279852589,7.017038286703836e-10,1.19266724035e+14,2.8849344295e-48,5.84126222586e+13,1053740.85168, , , , 
133, ,0.01701254279852589,1e-09,2.42220891431e+14,2.8849344295e-48,1.20843549982e+14,4426838.28869, , , , 
134, ,0.01701254279852589,1.4251026703029963e-09,4.91930676558e+14,2.8849344295e-48,2.45942985596e+14,18293505.6033, , , , 
135, ,0.01701254279852589,2.0309176209047387e-09,9.99070679285e+14,2.8849344295e-48,4.99534857649e+14,75425382.9747, , , , 
136, ,0.01701254279852589,2.894266124716752e-09,2.02903024709e+15,2.8849344295e-48,1.01451512204e+15,310806519.463, , , , 
137, ,0.01701254279852589,4.1246263829013485e-09,4.12079328216e+15,2.8849344295e-48,2.06039664108e+15,1279490626.34, , , , 
138, ,0.01701254279852589,5.878016072274924e-09,8.36899168885e+15,2.8849344295e-48,4.18449584443e+15,5256789318.32, , , , 
139, ,0.01701254279852589,8.376776400682925e-09,1.69967326901e+16,2.8849344295e-48,8.49836634505e+15,21510489176.7, , , , 
