Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0[GeV5]
0,1000.0,0.01,74279.08356870947,3.1452272427969017e+25
1, ,0.01002768031739658,44494.513128354614, 
2, ,0.010055437254790278,31340.52277777306, 
3, ,0.010083271024267678,24805.541940752148, 
4, ,0.010111181838502424,21552.07565163392, 
5, ,0.010139169910756848,20312.989516488073, 
6, ,0.010167235454883608,20672.920899426626, 
7, ,0.010195378685327302,22746.04175627012, 
8, ,0.01022359981712612,27259.856618824495, 
9, ,0.010251899065913488,36163.930519183, 
10, ,0.010280276647919707,54797.190602775416, 
11, ,0.010308732779973613,100988.36647652608, 
12, ,0.010337267679504231,260742.92700738058, 
13, ,0.010365881564542438,1366729.9710088803, 
14, ,0.010394574653722628,490990.98665873456, 
15, ,0.010423347166284376,147069.91219638727, 
16, ,0.010452199322074123,69880.54494066251, 
17, ,0.010481131341546858,42432.78863914783, 
18, ,0.010510143445767785,30097.05565200936, 
19, ,0.010539235856414027,23885.1527898569, 
20, ,0.010568408795776323,20739.576362710453, 
21, ,0.010597662486760707,19477.330205309303, 
22, ,0.010626997152890243,19691.107654529238, 
23, ,0.0106564130183067,21444.975290449947, 
24, ,0.010685910307772278,25318.972136893295, 
25, ,0.010715489246671327,32862.49814224777, 
26, ,0.01074515006101208,48166.33291659021, 
27, ,0.010774892977428351,84038.43207756402, 
28, ,0.01080471822318129,195796.39157717756, 
29, ,0.010834626026161113,816823.6208070326, 
30, ,0.01086461661488885,784700.1566711788, 
31, ,0.010894690218518079,190941.24839385395, 
32, ,0.01092484706683668,82326.06647575164, 
33, ,0.010955087390268592,47208.94047179633, 
34, ,0.010985411419875584,32153.745714063178, 
35, ,0.011015819387359,24686.489712541606, 
36, ,0.011046311525061551,20799.20612888913, 
37, ,0.011076888065969064,18958.48216420663, 
38, ,0.011107549243712309,18567.568846910446, 
39, ,0.011138295292568715,19509.175873067736, 
40, ,0.01116912644746423,22066.09262897697, 
41, ,0.011200042943975063,27117.45766257278, 
42, ,0.011231045018329522,36874.90275295679, 
43, ,0.011262132907409786,57437.740757569256, 
44, ,0.011293306848753744,109917.23870671043, 
45, ,0.011324567080556784,303898.70503486274, 
46, ,0.011355913841673651,1894808.1317388741, 
47, ,0.011387347371620228,429325.05936009524, 
48, ,0.011418867910575385,134564.2882073549, 
49, ,0.011450475699382815,65342.424730945175, 
50, ,0.011482170979552892,40052.661170114465, 
51, ,0.011513953993264476,28462.00845141345, 
52, ,0.011545824983366794,22502.975670388292, 
53, ,0.011577784193381284,19370.02207605999, 
54, ,0.011609831867503471,17943.310963609852, 
55, ,0.011641968250604815,17792.30199456813, 
56, ,0.011674193588234582,18872.990782791654, 
57, ,0.011706508126621726,21499.520746273432, 
58, ,0.01173891211267678,26555.763145567536, 
59, ,0.011771405793993724,36224.0419452032, 
60, ,0.011803989418851895,56483.72533763867, 
61, ,0.011836663236217857,107941.47233036073, 
