Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0[GeV5]
0,500.0,0.01,6444.221402990452,1.278412521280204e+26
1, ,0.01002768031739658,7521.467220136633, 
2, ,0.010055437254790278,9024.954962336287, 
3, ,0.010083271024267678,11191.195459517243, 
4, ,0.010111181838502424,14448.301876922926, 
5, ,0.010139169910756848,19632.278973276858, 
6, ,0.010167235454883608,28543.461267061484, 
7, ,0.010195378685327302,45595.337842683366, 
8, ,0.01022359981712612,83709.96006346343, 
9, ,0.010251899065913488,191621.97728623485, 
10, ,0.010280276647919707,636998.3890089025, 
11, ,0.010308732779973613,281777.9423917559, 
12, ,0.010337267679504231,109592.15113671758, 
13, ,0.010365881564542438,55558.598185580835, 
14, ,0.010394574653722628,33159.98380376795, 
15, ,0.010423347166284376,22042.168625083432, 
16, ,0.010452199322074123,15804.81273716278, 
17, ,0.010481131341546858,11987.494897210458, 
18, ,0.010510143445767785,9497.010641856079, 
19, ,0.010539235856414027,7792.13362269799, 
20, ,0.010568408795776323,6581.642280285584, 
21, ,0.010597662486760707,5698.216950563301, 
22, ,0.010626997152890243,5040.555059514292, 
23, ,0.0106564130183067,4544.695327797761, 
24, ,0.010685910307772278,4168.897483167063, 
25, ,0.010715489246671327,3885.249475395111, 
26, ,0.01074515006101208,3674.810274884962, 
27, ,0.010774892977428351,3524.7072907575466, 
28, ,0.01080471822318129,3426.3671935095485, 
29, ,0.010834626026161113,3374.4378480961313, 
30, ,0.01086461661488885,3366.1586726619184, 
31, ,0.010894690218518079,3401.048854090251, 
32, ,0.01092484706683668,3480.852177775831, 
33, ,0.010955087390268592,3609.7277685565327, 
34, ,0.010985411419875584,3794.7233830545756, 
35, ,0.011015819387359,4046.6262515931494, 
36, ,0.011046311525061551,4381.374880424697, 
37, ,0.011076888065969064,4822.366717933277, 
38, ,0.011107549243712309,5404.27647398498, 
39, ,0.011138295292568715,6179.547542810707, 
40, ,0.01116912644746423,7229.85100011202, 
41, ,0.011200042943975063,8687.28981617993, 
42, ,0.011231045018329522,10775.957466694881, 
43, ,0.011262132907409786,13899.30436134177, 
44, ,0.011293306848753744,18840.41004882641, 
