Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0
0,750.0,0.01,13603.645810391987,5.6413785018955505e+25
1, ,0.01002768031739658,15758.198540837791, 
2, ,0.010055437254790278,19359.77259705002, 
3, ,0.010083271024267678,25550.2501394562, 
4, ,0.010111181838502424,37012.22688983999, 
5, ,0.010139169910756848,61150.79785774213, 
6, ,0.010167235454883608,124169.51538743517, 
7, ,0.010195378685327302,365080.09483408526, 
8, ,0.01022359981712612,1391162.8511929223, 
9, ,0.010251899065913488,274493.23429173924, 
10, ,0.010280276647919707,103257.745066226, 
11, ,0.010308732779973613,53539.52978005698, 
12, ,0.010337267679504231,33384.90846773513, 
13, ,0.010365881564542438,23481.763662286074, 
14, ,0.010394574653722628,18012.274961965795, 
15, ,0.010423347166284376,14779.722800856001, 
16, ,0.010452199322074123,12821.769635004042, 
17, ,0.010481131341546858,11675.952368577622, 
18, ,0.010510143445767785,11113.484661844126, 
19, ,0.010539235856414027,11033.145796229855, 
20, ,0.010568408795776323,11420.595314964448, 
21, ,0.010597662486760707,12342.885898484861, 
22, ,0.010626997152890243,13974.405758687935, 
23, ,0.0106564130183067,16672.686351616314, 
24, ,0.010685910307772278,21166.642093209102, 
25, ,0.010715489246671327,29053.79296230787, 
26, ,0.01074515006101208,44311.56286801771, 
27, ,0.010774892977428351,78970.19875222456, 
28, ,0.01080471822318129,182390.08406410532, 
29, ,0.010834626026161113,695665.9991127704, 
30, ,0.01086461661488885,670859.9228931752, 
31, ,0.010894690218518079,178058.0921765197, 
32, ,0.01092484706683668,77388.99012046546, 
33, ,0.010955087390268592,43443.6169495623, 
34, ,0.010985411419875584,28446.78691734798, 
35, ,0.011015819387359,20671.047620282658, 
36, ,0.011046311525061551,16222.554992220968, 
37, ,0.011076888065969064,13532.031741980725, 
38, ,0.011107549243712309,11880.125484222128, 
39, ,0.011138295292568715,10910.303727951901, 
40, ,0.01116912644746423,10443.195464672512, 
41, ,0.011200042943975063,10400.111436949157, 
42, ,0.011231045018329522,10773.580190527726, 
43, ,0.011262132907409786,11624.632603232296, 
44, ,0.011293306848753744,13105.081416089395, 
45, ,0.011324567080556784,15519.708772322669, 
46, ,0.011355913841673651,19476.596644352183, 
47, ,0.011387347371620228,26271.94829263547, 
48, ,0.011418867910575385,39011.86883591613, 
49, ,0.011450475699382815,66583.00775786658, 
50, ,0.011482170979552892,142418.11814384098, 
51, ,0.011513953993264476,465695.9401430839, 
52, ,0.011545824983366794,1150751.2016091973, 
53, ,0.011577784193381284,240947.74830817754, 
54, ,0.011609831867503471,93947.13018898007, 
55, ,0.011641968250604815,49667.5928866442, 
56, ,0.011674193588234582,31273.81347691638, 
57, ,0.011706508126621726,22073.54107445005, 
58, ,0.01173891211267678,16913.02538724119, 
59, ,0.011771405793993724,13809.505457660718, 
60, ,0.011803989418851895,11879.842211607769, 
61, ,0.011836663236217857,10690.883115255883, 
62, ,0.011869427495747351,10019.682785702094, 
63, ,0.01190228244778715,9755.01831415877, 
64, ,0.011935228343377,9855.707321732956, 
65, ,0.011968265434251531,10336.5524785649, 
66, ,0.012001393972842193,11273.22128300244, 
67, ,0.012034614212279159,12828.989500408532, 
68, ,0.012067926406393287,15320.786953786277, 
69, ,0.012101330809718036,19375.592690706755, 
70, ,0.012134827677491435,26330.6938575009, 
71, ,0.012168417265658014,39408.3554370095, 
72, ,0.012202099830870759,67924.45606365812, 
73, ,0.012235875630493085,147600.67223029656, 
74, ,0.012269744922600795,499842.6590693879, 
75, ,0.012303707965984064,1134650.4794947414, 
76, ,0.012337765020149391,236452.09250919963, 
77, ,0.0123719163453216,92349.52523171087, 
78, ,0.012406162202445843,48865.94290534608, 
79, ,0.01244050285318956,30750.53710612276, 
80, ,0.012474938559944495,21660.842586760435, 
81, ,0.012509469585828705,16542.110026595994, 
82, ,0.012544096194688563,13445.051822690668, 
83, ,0.012578818651100786,11498.58917655763, 
84, ,0.012613637220374436,10272.892254935497, 
85, ,0.012648552168552958,9543.519317068418, 
86, ,0.012683563762416231,9193.716221792998, 
87, ,0.012718672269482577,9171.776445979753, 
88, ,0.012753877958010813,9474.16285034484, 
89, ,0.012789181097002313,10144.357262074054, 
90, ,0.012824581956203049,11286.78403898467, 
91, ,0.012860080806105664,13103.934980504568, 
92, ,0.012895677917951532,15981.447983521224, 
93, ,0.012931373563732822,20690.701998334942, 
94, ,0.01296716801619461,28924.247439113264, 
95, ,0.013003061548836913,44949.36447525494, 
96, ,0.01303905443591682,82002.01983265035, 
97, ,0.013075146952450569,197154.98006112684, 
98, ,0.013111339374215644,832826.6721226347, 
99, ,0.0131476319777529,691105.0073171656, 
100, ,0.013184025040368664,176708.26979782214, 
101, ,0.013220518840136844,75967.03813301786, 
102, ,0.013257113655901088,42328.729875409124, 
103, ,0.013293809767276876,27477.706326440984, 
104, ,0.013330607454653674,19746.607348528854, 
105, ,0.013367506999197077,15281.64682486128, 
106, ,0.013404508682850957,12529.35153544075, 
107, ,0.01344161278833961,10773.07251832212, 
108, ,0.013478819599169923,9650.492614526738, 
109, ,0.013516129399633552,8968.488993767616, 
110, ,0.013553542474809057,8624.254366325116, 
111, ,0.013591059110564132,8569.934631516628, 
112, ,0.01362867959355774,8797.929332514426, 
113, ,0.013666404211242338,9338.635489657703, 
114, ,0.013704233251866052,10269.446640348353, 
115, ,0.013742167004474894,11739.838100420391, 
116, ,0.013780205758914962,14027.644377466999, 
117, ,0.01381834980583465,17667.264335309686, 
118, ,0.013856599436686896,23767.718017799823, 
119, ,0.013894954943731374,34912.740813424854, 
120, ,0.013933416620036741,58232.188195851515, 
121, ,0.01397198475948288,119214.53934510947, 
122, ,0.014010659656763149,358669.52563573356, 
123, ,0.014049441607386614,2304553.7702342384, 
124, ,0.014088330907680332,337515.7712107141, 
125, ,0.014127327854791597,114422.22991047442, 
126, ,0.01416643274669021,56336.632167121046, 
127, ,0.014205645882170775,33879.994854146746, 
128, ,0.014244967560854969,23076.85799965055, 
129, ,0.014284398083193813,17134.680843386283, 
130, ,0.014323937750470004,13572.30458530311, 
131, ,0.014363586864800191,11318.553816329548, 
132, ,0.01440334572913729,9854.43202254368, 
133, ,0.014443214647272802,8908.017000045633, 
134, ,0.01448319392383915,8330.673209658044, 
135, ,0.01452328386431196,8042.093403098981, 
136, ,0.014563484775012438,8004.964308844618, 
137, ,0.014603796963109697,8214.348738640903, 
138, ,0.014644220736623106,8696.311310979298, 
139, ,0.014684756404424638,9515.11376508872, 
140, ,0.01472540427624123,10792.572933448448, 
141, ,0.014766164662657162,12750.37466326229, 
142, ,0.01480703787511641,15803.438892558997, 
143, ,0.014848024225925047,20782.087626881483, 
144, ,0.014889124028253618,29526.70448890597, 
145, ,0.014930337596139532,46765.56719197085, 
146, ,0.014971665244489453,87642.07935381828, 
147, ,0.015013107289081737,221477.3206782519, 
148, ,0.015054664046568803,1063391.9538450309, 
149, ,0.015096335834479587,636978.2923572088, 
150, ,0.015138122971221963,165884.75976074816, 
151, ,0.015180025776085153,72226.81706703585, 
152, ,0.015222044569242182,40490.00569417297, 
153, ,0.015264179671752334,26320.27890426667, 
154, ,0.015306431405563587,18874.396313864236, 
